i:ID,i:Terrain Type DID,i:Position X,i:Position Y
798,5,24,71
799,5,25,66
800,5,25,67
801,5,25,68
802,5,25,69
803,5,25,70
804,5,25,71
805,5,26,66
806,5,26,67
807,5,26,68
808,5,26,69
809,5,26,70
810,5,26,71
811,5,27,66
812,5,27,67
813,5,27,68
814,5,27,69
815,5,27,70
816,5,27,71
817,5,28,66
818,5,28,67
819,5,28,68
820,5,28,69
821,5,28,70
822,5,28,71
823,5,29,66
824,5,29,67
825,5,29,68
826,5,29,69
827,5,29,70
828,5,29,71
829,5,30,66
830,5,30,67
831,5,30,68
832,5,30,69
833,5,30,70
834,5,30,71
835,5,31,66
836,5,31,67
837,5,31,68
838,5,31,69
839,5,31,70
840,5,31,71
841,5,32,66
842,5,32,67
843,5,32,68
844,5,32,69
845,5,32,70
846,5,32,71
847,5,33,66
848,5,33,67
849,5,33,68
850,5,33,69
851,5,33,70
852,5,33,71
853,5,34,66
854,5,34,67
855,5,34,68
856,5,34,69
857,5,34,70
858,5,34,71
859,5,35,66
860,5,35,67
861,5,35,68
862,5,35,69
863,5,35,70
864,5,35,71
865,5,36,66
866,5,36,67
867,5,36,68
868,5,36,69
869,5,36,70
870,5,36,71
871,5,37,66
872,5,37,67
873,5,37,68
874,5,37,69
875,5,37,70
876,5,37,71
877,5,38,66
878,5,38,67
879,5,38,68
880,5,38,69
881,5,38,70
882,5,38,71
883,5,39,66
884,5,39,67
885,5,39,68
886,5,39,69
887,5,39,70
888,5,39,71
889,5,40,66
890,5,40,67
891,5,40,68
892,5,40,69
893,5,40,70
894,5,40,71
895,5,41,66
896,5,41,67
897,5,41,68
898,5,41,69
899,5,41,70
900,5,41,71
901,5,42,66
902,5,42,67
903,5,42,68
904,5,42,69
905,5,42,70
906,5,42,71
907,5,43,66
908,5,43,67
909,5,43,68
910,5,43,69
911,5,43,70
912,5,43,71
913,5,44,66
914,5,44,67
915,5,44,68
916,5,44,69
917,5,44,70
918,5,44,71
919,5,45,66
920,5,45,67
921,5,45,68
922,5,45,69
923,5,45,70
924,5,45,71
925,5,46,66
926,5,46,67
927,5,46,68
928,5,46,69
929,5,46,70
930,5,46,71
931,5,47,66
932,5,47,67
933,5,47,68
934,5,47,69
935,5,47,70
936,5,47,71
937,5,48,66
938,5,48,67
939,5,48,68
940,5,48,69
941,5,48,70
942,5,48,71
943,5,49,66
944,5,49,67
945,5,49,68
946,5,49,69
947,5,49,70
948,5,49,71
949,5,50,66
950,5,50,67
951,5,50,68
952,5,50,69
953,5,50,70
954,5,50,71
955,5,51,66
956,5,51,67
957,5,51,68
958,5,51,69
959,5,51,70
960,5,51,71
961,5,52,66
962,5,52,67
963,5,52,68
964,5,52,69
965,5,52,70
966,5,52,71
967,5,53,66
968,5,53,67
969,5,53,68
970,5,53,69
971,5,53,70
972,5,53,71
973,5,54,66
974,5,54,67
975,5,54,68
976,5,54,69
977,5,54,70
978,5,54,71
979,5,55,66
980,5,55,67
981,5,55,68
982,5,55,69
983,5,55,70
984,5,55,71
985,5,56,66
986,5,56,67
987,5,56,68
988,5,56,69
989,5,56,70
990,5,56,71
991,5,57,66
992,5,57,67
993,5,57,68
994,5,57,69
995,5,57,70
996,5,57,71
997,5,58,66
998,5,58,67
999,5,58,68
1000,5,58,69
1001,5,58,70
1002,5,58,71
1003,5,59,66
1004,5,59,67
1005,5,59,68
1006,5,59,69
1007,5,59,70
1008,5,59,71
1009,5,60,66
1010,5,60,67
1011,5,60,68
1012,5,60,69
1013,5,60,70
1014,5,60,71
1015,5,61,66
1016,5,61,67
1017,5,61,68
1018,5,61,69
1019,5,61,70
1020,5,61,71
1021,5,62,66
1022,5,62,67
1023,5,62,68
1024,5,62,69
1025,5,62,70
1026,5,62,71
1027,5,63,66
1028,5,63,67
1029,5,63,68
1030,5,63,69
1031,5,63,70
1032,5,63,71
1033,5,64,66
1034,5,64,67
1035,5,64,68
1036,5,64,69
1037,5,64,70
1038,5,64,71
1039,5,65,66
1040,5,65,67
1041,5,65,68
1042,5,65,69
1043,5,65,70
1044,5,65,71
1045,5,66,66
1046,5,66,67
1047,5,66,68
1048,5,66,69
1049,5,66,70
1050,5,66,71
1051,5,67,66
1052,5,67,67
1053,5,67,68
1054,5,67,69
1055,5,67,70
1056,5,67,71
1057,5,68,66
1058,5,68,67
1059,5,68,68
1060,5,68,69
1061,5,68,70
1062,5,68,71
1063,5,69,66
1064,5,69,67
1065,5,69,68
1066,5,69,69
1067,5,69,70
1068,5,69,71
1069,5,70,66
1070,5,70,67
1071,5,70,68
1072,5,70,69
1073,5,70,70
1074,5,70,71
1075,5,71,66
1076,5,71,67
1077,5,71,68
1078,5,71,69
1079,5,71,70
1080,5,71,71
