i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Level Min,s:Portrait,i:Build Time,i:Build Timer Duration,i:Rent Time,i:Rent Timer Duration,i:Product Resources Gold,i:Product Resources XP,i:Flippable,s:Completion Sound,i:Num Residents,i:Resident 1,i:Resident 2,i:Resident 3,i:Resident 4,i:Resident 5,s:Sound On Select,i:Has Move In,i:Rent Rushable,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward Resources XP,i:Completion Reward Movie,s:Completion Reward Thought Icon,i:Completion Reward Resources Gold,i:Product Special DID,i:Product Special Amount,i:Instance Limit 1
13,building,!!BLDG_NAME_SHOALS,1026,40,40,14,ShadyShoals_Portrait.png,86400,5,86400,5,120,10,0,BB_MoveIn,-1,3008,-1,-1,-1,-1,ShadyShoalsSelect,1,1,southeast,-10,10,10,-1,IconXP_1.png,-1,-1,-1,1
14,building,!!BLDG_NAME_9002_HARRYS_HOUSE_GREEN,9002,40,40,16,FishHome4_Green_Portrait.png,86400,5,10800,5,40,3,1,n/a,-1,3019,-1,-1,-1,-1,n/a,0,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
15,building,!!BLDG_NAME_9003_SUSIES_HOUSE_ORANGE,9003,40,40,17,FishHome3_Orange_Portrait.png,86400,5,1800,5,25,2,1,n/a,-1,3031,-1,-1,-1,-1,n/a,0,1,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1
16,building,!!BLDG_NAME_JAIL,1002,80,80,18,Jail_Portrait.png,86400,5,86400,5,120,10,0,MR_MoveIn,-1,3010,-1,-1,-1,-1,JailSelect,1,1,southeast,-20,58,10,-1,IconXP_1.png,-1,-1,-1,1
17,building,!!BLDG_NAME_9004_TYLERS_HOUSE_LIGHTBLUE,9004,40,40,19,FishHome4_LightBlue_Portrait.png,86400,5,1800,5,25,2,1,n/a,-1,231,-1,-1,-1,-1,n/a,0,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
18,building,!!BLDG_NAME_SPITOON,1014,40,40,21,SaltySpitoon_Portrait.png,86400,5,43200,5,70,6,0,Reg_MoveIn,-1,3015,-1,-1,-1,-1,SaltySpitoonSelect,1,1,southeast,0,20,10,-1,IconXP_1.png,-1,-1,-1,1
19,building,!!BLDG_NAME_9005_SOPHIES_HOUSE,9005,40,40,22,FishHome2_Red_Portrait.png,86400,5,10800,5,40,3,1,n/a,-1,30201,-1,-1,-1,-1,n/a,0,1,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1
20,building,!!BLDG_NAME_1050_LENNYS_HOUSE_YELLOW,1050,40,40,24,FishHome3_Yellow_Portrait.png,86400,5,21600,5,50,4,1,n/a,-1,30341,-1,-1,-1,-1,n/a,0,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
21,building,!!BLDG_NAME_JELLYSTD,1012,80,80,26,JellyspottersStand_Portrait.png,86400,5,28800,5,60,5,0,Kevin_MoveIn,-1,3012,-1,-1,-1,-1,JellyspottersStandSelect,1,1,southeast,-20,40,10,-1,IconXP_1.png,10,-1,-1,1
22,building,!!BLDG_NAME_1051_BOBS_HOUSE,1051,40,40,28,FishHome5_Purple_Portrait.png,86400,5,86400,5,120,10,1,n/a,-1,30301,-1,-1,-1,-1,n/a,0,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
23,building,!!BLDG_NAME_FRYCOOK,1006,80,100,1,FryCookMuseum_Portrait.png,86400,5,10800,5,80,12,0,KingNeptune_MoveIn,-1,3001,-1,-1,-1,-1,FryCookMuseumSelect,1,1,southeast,-10,19,10,-1,IconXP_1.png,-1,-1,-1,1
24,building,!!BLDG_NAME_MRKRAB,1013,100,40,1,MrKrabs_Portrait.png,43200,5,3600,5,60,8,1,PK_MoveIn,-1,3004,-1,-1,-1,-1,MrKrabsHouseSelect,1,1,southeast,-20,30,10,2,IconXP_1.png,-1,-1,-1,1
25,building,!!BLDG_NAME_TREEDOME,1019,100,120,1,TreeDome_Portrait.png,86400,5,21600,5,100,18,1,Sandy_MoveIn,-1,3006,-1,-1,-1,-1,TreedomeSelect,1,1,southeast,-8,-8,10,4,IconXP_1.png,-1,-1,-1,1
26,building,!!BLDG_NAME_HOSPITAL,1010,60,40,1,Hospital_Portrait.png,86400,5,43200,5,140,28,0,MM_MoveIn,-1,3009,-1,-1,-1,-1,HospitalSelect,1,1,southeast,-10,40,10,-1,IconXP_1.png,-1,-1,-1,1
27,building,!!BLDG_NAME_GYM,1009,60,60,1,Gym_Portrait.png,43200,5,86400,5,240,30,0,LL_MoveIn,-1,3013,-1,-1,-1,-1,GymSelect,1,1,southeast,-20,19,10,-1,IconXP_1.png,-1,-1,-1,1
28,building,!!BLDG_NAME_MSPUFF,1003,60,60,1,MrsPuff'sHouse_Portrait.png,43200,5,43200,5,140,28,1,SB_MrsPuffIsTheBest,-1,3014,-1,-1,-1,-1,MrsPuffsHouseSelect,1,1,southeast,-20,39,10,-1,IconXP_1.png,-1,-1,-1,1
29,building,!!BLDG_NAME_SQUILL,1025,40,40,1,Squilliam'sHouse_Portrait.png,43200,5,10800,5,80,12,1,Squilliam_MoveIn,-1,3017,-1,-1,-1,-1,SquilliamsTowerSelect,1,1,southeast,-10,10,10,-1,IconXP_1.png,-1,-1,-1,1
30,building,!!BLDG_NAME_HILLBILLY_HOUSE,9038,40,60,1,HillBillyHouse_Portrait.png,3600,5,86400,5,120,10,1,SB_Sweet,-1,3041,-1,-1,-1,-1,n/a,1,1,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1
31,building,!!BLDG_NAME_ANGLER_HOUSE,9040,40,60,1,AnglerFishHouse_Portrait.png,86400,5,86400,5,120,10,1,SB_Sweet,-1,3042,-1,-1,-1,-1,n/a,1,1,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1
32,building,!!BLDG_NAME_SLASHERS_HOUSE,9039,60,60,1,SlasherMcGeeHouse_Portrait.png,86400,5,86400,5,120,10,1,SB_Sweet,-1,3043,-1,-1,-1,-1,n/a,1,1,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1
33,building,!!BLDG_NAME_ELF_APARTMENTS,9042,40,40,1,ElfApartment_Portrait.png,14400,5,28800,5,60,5,1,SB_Sweet,-1,3044,-1,-1,-1,-1,n/a,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1
34,building,!!BLDG_NAME_TOY_FACTORY,9043,60,60,1,ToyFactory_Portrait.png,86400,5,86400,5,120,10,0,SB_WeGotPresents,-1,3045,3046,3047,3048,3050,n/a,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1
35,building,!!BLDG_NAME_PLANKTONS_WORKSHOP,1052,40,40,-1,icon_PlanktonsWorkshop.png,86400,5,21600,5,100,18,1,SB_SomeoneNew,-1,3053,3054,3055,-1,-1,n/a,0,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
36,building,!!BLDG_NAME_POLTERGEIST_SHIP,20602,40,80,1,GhostShipPortrait.png,86400,5,86400,5,120,10,1,SB_SomeoneNew,-1,3061,-1,-1,-1,-1,n/a,1,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
