i:id,i:DID,s:Name,s:Tag,s:Description,i:Recipe DID,i:Max Instances,i:Instance 1,i:Instance 2,i:Instance 3,i:Instance 4,i:Instance 5,i:Instance 6,i:Instance 7,i:Instance 8,i:Max Costs,f:Cost Odds 1,f:Cost Odds 2,f:Cost Odds 3,f:Cost Odds 4,f:Cost Odds 5,f:Cost Odds 6,f:Cost Odds 7,i:Cost 1,i:Cost 2,i:Cost 3,i:Cost 4,i:Cost 5,i:Cost 6,i:Cost 7,i:Cost Type 1,i:Cost Type 2,i:Cost Type 3,i:Cost Type 4,i:Cost Type 5,i:Cost Type 6,i:Cost Type 7,s:Icon,i:Min Level,i:Required Recipe
23,1119008,!!INGREDIENT_SALT,bargnrez_salt,!!INGREDIENT_SALT_DESC,9008,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,5,6,6,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Salt.png,1,9008
24,1119009,!!INGREDIENT_SHELLAC,bargnrez_shellac,!!INGREDIENT_SHELLAC_DESC,9009,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Shellac.png,1,9009
25,1119010,!!INGREDIENT_SPACKLE,bargnrez_spackle,!!INGREDIENT_SPACKLE_DESC,9010,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Spackle.png,1,9010
26,1119011,!!INGREDIENT_TUMERIC,bargnrez_tumeric,!!INGREDIENT_TUMERIC_DESC,9011,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Tumeric.png,1,9011
27,1119021,!!INGREDIENT_MARBLES,bargnrez_marbles,!!INGREDIENT_MARBLES_DESC,9021,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Marbles.png,1,9021
28,1119022,!!INGREDIENT_PAINT,bargnrez_paint,!!INGREDIENT_PAINT_DESC,9022,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Paint.png,1,9022
29,9107,!!INGREDIENT_SUGAR,spicerez_sugar,!!INGREDIENT_SUGAR_DESC,9107,-1,3,4,5,6,7,8,9,10,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,4,5,6,7,8,9,10,3,3,3,3,3,3,3,sb_item_sugar.png,1,9107
30,1119107,!!INGREDIENT_SUGAR,spicerez_sugar,!!INGREDIENT_SUGAR_DESC,9107,-1,1,2,3,4,5,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,2,3,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,sb_item_sugar.png,1,9107
31,9108,!!INGREDIENT_CINNAMON,spicerez_cinnamon,!!INGREDIENT_CINNAMON_DESC,9108,-1,3,4,5,6,7,8,9,10,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,8,9,10,11,12,13,14,3,3,3,3,3,3,3,sb_item_cinnamon.png,1,9108
32,1119108,!!INGREDIENT_CINNAMON,spicerez_cinnamon,!!INGREDIENT_CINNAMON_DESC,9108,-1,1,2,3,4,5,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,5,7,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,sb_item_cinnamon.png,1,9108
33,9110,!!INGREDIENT_CLOVES,spicerez_cloves,!!INGREDIENT_CLOVES_DESC,9110,-1,3,4,5,6,7,8,9,10,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,9,10,11,12,13,14,15,3,3,3,3,3,3,3,sb_item_cloves.png,1,9110
34,1119110,!!INGREDIENT_CLOVES,spicerez_cloves,!!INGREDIENT_CLOVES_DESC,9110,-1,1,2,3,4,5,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,5,6,8,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,sb_item_cloves.png,1,9110
35,9111,!!INGREDIENT_GINGER,spicerez_ginger,!!INGREDIENT_GINGER_DESC,9111,-1,3,4,5,6,7,8,9,10,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,10,11,12,13,14,15,16,3,3,3,3,3,3,3,sb_item_ginger.png,1,9111
36,1119111,!!INGREDIENT_GINGER,spicerez_ginger,!!INGREDIENT_GINGER_DESC,9111,-1,1,2,3,4,5,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,5,6,8,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,sb_item_ginger.png,1,9111
37,9114,!!INGREDIENT_NUTMEG,spicerez_nutmeg,!!INGREDIENT_NUTMEG_DESC,9114,-1,3,4,5,6,7,8,9,10,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,10,11,12,13,14,15,16,3,3,3,3,3,3,3,sb_item_nutmeg.png,1,9114
38,1119114,!!INGREDIENT_NUTMEG,spicerez_nutmeg,!!INGREDIENT_NUTMEG_DESC,9114,-1,1,2,3,4,5,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,5,6,8,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,sb_item_nutmeg.png,1,9114
39,9116,!!INGREDIENT_PEPPERMINT,spicerez_peppermint,!!INGREDIENT_PEPPERMINT_DESC,9116,-1,3,4,5,6,7,8,9,10,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,11,12,13,14,15,16,17,3,3,3,3,3,3,3,sb_item_peppermint.png,1,9116
40,1119116,!!INGREDIENT_PEPPERMINT,spicerez_peppermint,!!INGREDIENT_PEPPERMINT_DESC,9116,-1,1,2,3,4,5,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,6,7,9,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,sb_item_peppermint.png,1,9116
41,9117,!!INGREDIENT_VANILLA,spicerez_vanilla,!!INGREDIENT_VANILLA_DESC,9117,-1,3,4,5,6,7,8,9,10,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,7,8,9,10,11,12,13,3,3,3,3,3,3,3,sb_item_vanilla.png,1,9117
42,1119117,!!INGREDIENT_VANILLA,spicerez_vanilla,!!INGREDIENT_VANILLA_DESC,9117,-1,1,2,3,4,5,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,5,7,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,sb_item_vanilla.png,1,9117
43,20031,!!BLDG_NAME_BLUE_GRILL,bargdeco_itemofday_bluegrill,!!BLDG_NAME_BLUE_GRILL_DESC,2003,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,6,800,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,Grill_blue_Portrait.png,1,-1
44,20121,!!BLDG_NAME_MAILBOX,bargdeco_itemofday_mailbox,!!BLDG_NAME_MAILBOX_DESC,2012,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,8,1000,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,Mailbox1_Portrait.png,1,-1
45,20181,!!BLDG_NAME_ORANGE_PINE,bargdeco_itemofday_orangepine,!!BLDG_NAME_ORANGE_PINE_DESC,2018,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,2,300,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,PineTree_orange_Portrait.png,1,-1
46,20191,!!BLDG_NAME_PHONEBOOTH,bargdeco_itemofday_payphone,!!BLDG_NAME_PHONEBOOTH_DESC,2019,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,23,3000,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,PhoneBooth_Portrait.png,1,-1
47,20211,!!BLDG_NAME_PURPLE_BENCH,bargdeco_itemofday_purpbench,!!BLDG_NAME_PURPLE_BENCH_DESC,2021,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,23,3000,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,Bench_purple_Portrait.png,1,-1
48,20221,!!BLDG_NAME_PURPLE_PINE,bargdeco_itemofday_purppine,!!BLDG_NAME_PURPLE_PINE_DESC,2022,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,4,500,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,PineTree_purple_Portrait.png,1,-1
49,20241,!!BLDG_NAME_RED_BENCH,bargdeco_itemofday_redbench,!!BLDG_NAME_RED_BENCH_DESC,2024,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,3,400,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,Bench_red_Portrait.png,1,-1
50,20261,!!BLDG_NAME_RED_GRILL,bargdeco_itemofday_redgrill,!!BLDG_NAME_RED_GRILL_DESC,2026,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,6,800,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,Grill_red_Portrait.png,1,-1
51,20371,!!BLDG_NAME_TIKI_PAIR,bargdeco_itemofday_tikipair,!!BLDG_NAME_TIKI_PAIR_DESC,2037,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,8,1000,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,TikiTorch_dual_Portrait.png,1,-1
52,20441,!!BLDG_NAME_ORANGE_BENCH,bargdeco_itemofday_orangebench,!!BLDG_NAME_ORANGE_BENCH_DESC,2044,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,8,1000,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,Bench_orange_Portrait.png,1,-1
53,9500,!!INGREDIENT_CHUM_CHUNKS,bargnrez_chum_chunks,!!INGREDIENT_CHUM_CHUNKS_DESC,9500,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,15,20,25,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,ChumChunks.png,1,9500
