i:id,i:Event DID,i:Threshold,s:Type,s:Reward Type,i:DID,s:Item Name,s:Texture,s:Locked Texture,i:Hide Name When Locked,i:Dialog Sequence,i:Width,i:Height,i:Max Unlocked Land Slots,i:Unlocked Land DID 1,i:Unlocked Land DID 2,i:Auto Place X,i:Auto Place Y
23,1,400,individual,building,20408,!!DECO_DANCE_STUDIO,icon_DanceStudio.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
24,1,500,individual,building,20409,!!DECO_FLOATING_SWIMMING_POOL,icon_SwimmingPool.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
25,1,1000,community,building,20401,!!DECO_ROCK_CLIMBING,icon_RockClimbingWall.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
26,1,2000,community,building,20402,!!DECO_SANDYS_DOJO,icon_SandysDojo.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
27,1,3000,community,building,20403,!!DECO_FAST_FOOD_COLISEUM,icon_Coliseum.png,n/a,0,2303,100,100,-1,39,40,1080,1040
28,3,60,individual,building,20103,!!BLDG_NAME_WINTRY_PLANT_2,WintryPlantlife2_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
29,3,120,individual,building,20106,!!BLDG_NAME_WINTRY_PLANT_5,WintryPlantlife5_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
30,3,180,individual,building,20098,!!BLDG_NAME_CANDY_CANE_ARCH,CandyCaneArch_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
31,3,240,individual,building,20083,!!BLDG_NAME_STACK_GIFTS_2,StacksOfGifts2_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
32,3,300,individual,building,20077,!!BLDG_NAME_SNOW_SNORKELER,SnowSnorkeler_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
33,3,360,individual,building,20099,!!BLDG_NAME_GARLAND_WRAPPED_POLE,GarlandWrappedPole_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
34,3,420,individual,building,20087,!!BLDG_NAME_LAWN_REINDEER,LawnReindeer_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
35,3,480,individual,building,20074,!!BLDG_NAME_PATRICKS_SANTA_TRAP,PatricksSantaTrap_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
36,3,540,individual,building,20089,!!BLDG_NAME_NUTCRACKER_2,Nutcracker2_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
37,3,600,individual,building,20088,!!BLDG_NAME_NUTCRACKER_1,Nutcracker1_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
38,3,5000,community,building,20079,!!BLDG_NAME_CHRISTMAS_TREE,ChristmasTreeWithStarfish_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
39,3,10000,community,building,20084,!!BLDG_NAME_STACK_GIFTS_3,StacksOfGifts3_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
40,3,15000,community,building,20081,!!BLDG_NAME_LARGE_SNOW_GLOBE,LargeSnowGlobe_Portrait.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
41,3,20000,community,building,20114,!!BLDG_NAME_NUTCRACKER_PLANKTON,icon_NutcrackerPlankton.png,MysteryItem.png,1,2844,100,100,-1,-1,-1,-1,-1
42,4,130,individual,building,20200,!!BLDG_NAME_CARNIVAL_ENTRANCE,valentines_CarnivalTicketKiosk_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
43,4,300,individual,building,20203,!!BLDG_NAME_BALLOON_CART,valentines_BalloonCart_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
44,4,600,individual,building,20204,!!BLDG_NAME_TENT_1,valentines_TentA_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
45,4,900,individual,building,20207,!!BLDG_NAME_KISSING_BOOTH,valentines_KissingBooth_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
46,4,1200,individual,building,20208,!!BLDG_NAME_TOSS_A_CLAM,valentines_TossAClam_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
47,4,1500,individual,building,20202,!!BLDG_NAME_THE_MITTEN,valentines_TheMitten_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
48,4,1800,individual,building,20210,!!BLDG_NAME_FUN_HOUSE,valentines_FunHouse_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
49,4,2100,individual,building,20211,!!BLDG_NAME_BUDDY_BOUNCE,valentines_BuddyBounce_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
50,4,2400,individual,building,20212,!!BLDG_NAME_SAUCER_RIDE,valentines_SaucerRide_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
51,4,2700,individual,building,20213,!!BLDG_NAME_MERRY_GO_ROUND,valentines_MerryGoRound_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
52,4,3000,community,building,20214,!!BLDG_NAME_FERRIS_WHEEL,valentines_FerrisWheel_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
53,4,4000,community,building,20216,!!BLDG_NAME_HEART_A_WHIRL,valentines_heart-a-whirl_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
54,4,5000,community,building,20625,!!BLDG_NAME_ROLLER_COASTER,icon_HeartRollerCoaster.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
