i:ID,s:Category Name,i:IAP DID,s:Description,s:Name,s:Display Model Type,i:Display Width,i:Display Height,s:Display Default Texture,s:Display Default Name,s:Result Type,i:Gold Amount,i:Jelly Amount,s:IAP Code
68,rmt,-78,!!MARKETLABEL_JJ_OFFER4_BONUS20_DESC,!!MARKETLABEL_JJ_OFFER4_TITLE,sprite,149,110,JellyfishJellyCratePyramid_Icon_Bonus20.png,default,resource,-1,540,com.mtvn.SBMI.jellybundle4.discnt1
69,rmt,-77,!!MARKETLABEL_JJ_OFFER5_BONUS20_DESC,!!MARKETLABEL_JJ_OFFER5_TITLE,sprite,168,86,JellyfishJellyBoat_Icon_Bonus20.png,default,resource,-1,2160,com.mtvn.SBMI.jellybundle5.discnt1
70,rmt,-76,!!MARKETLABEL_JJ_OFFER6_BONUS20_DESC,!!MARKETLABEL_JJ_OFFER6_TITLE,sprite,143,123,JellyfishJellyTower_Icon_Bonus20.png,default,resource,-1,4800,com.mtvn.SBMI.jellybundle6.discnt1
71,rmt,-75,!!MARKETLABEL_COIN_OFFER1_BONUS20_DESC,!!MARKETLABEL_COIN_OFFER1_TITLE,sprite,144,134,CoinStack_Portrait_Bonus20.png,default,resource,120,-1,com.mtvn.SBMI.bag1.discnt1 
72,rmt,-74,!!MARKETLABEL_COIN_OFFER2_BONUS20_DESC,!!MARKETLABEL_COIN_OFFER2_TITLE,sprite,143,121,CoinBarrel_Portrait_Bonus20.png,default,resource,600,-1,com.mtvn.SBMI.bag2.discnt1 
73,rmt,-73,!!MARKETLABEL_COIN_OFFER3_BONUS20_DESC,!!MARKETLABEL_COIN_OFFER3_TITLE,sprite,155,111,CoinChest_Portrait_Bonus20.png,default,resource,1500,-1,com.mtvn.SBMI.bag3.discnt1 
74,rmt,-72,!!MARKETLABEL_COIN_OFFER4_BONUS20_DESC,!!MARKETLABEL_COIN_OFFER4_TITLE,sprite,165,120,CoinWheelbarrel_Portrait_Bonus20.png,default,resource,12000,-1,com.mtvn.SBMI.bag4.discnt1
75,rmt,-71,!!MARKETLABEL_JJ_OFFER1_BONUS30_DESC,!!MARKETLABEL_JJ_OFFER1_TITLE,sprite,132,125,JellyfishJellyShortStack_Icon_Bonus30.png,default,resource,-1,33,com.mtvn.SBMI.jellybundle1.discnt2
76,rmt,-70,!!MARKETLABEL_JJ_OFFER2_BONUS30_DESC,!!MARKETLABEL_JJ_OFFER2_TITLE,sprite,113,131,JellyfishJellyCrateTower_Icon_Bonus30.png,default,resource,-1,65,com.mtvn.SBMI.jellybundle2.discnt2
77,rmt,-69,!!MARKETLABEL_JJ_OFFER3_BONUS30_DESC,!!MARKETLABEL_JJ_OFFER3_TITLE,sprite,148,113,JellyfishJellyCrateTowers_Icon_Bonus30.png,default,resource,-1,195,com.mtvn.SBMI.jellybundle3.discnt2
78,rmt,-68,!!MARKETLABEL_JJ_OFFER4_BONUS30_DESC,!!MARKETLABEL_JJ_OFFER4_TITLE,sprite,149,110,JellyfishJellyCratePyramid_Icon_Bonus30.png,default,resource,-1,585,com.mtvn.SBMI.jellybundle4.discnt2
79,rmt,-67,!!MARKETLABEL_JJ_OFFER5_BONUS30_DESC,!!MARKETLABEL_JJ_OFFER5_TITLE,sprite,168,86,JellyfishJellyBoat_Icon_Bonus30.png,default,resource,-1,2340,com.mtvn.SBMI.jellybundle5.discnt2
80,rmt,-66,!!MARKETLABEL_JJ_OFFER6_BONUS30_DESC,!!MARKETLABEL_JJ_OFFER6_TITLE,sprite,142,123,JellyfishJellyTower_Icon_Bonus30.png,default,resource,-1,5200,com.mtvn.SBMI.jellybundle6.discnt2
81,rmt,-65,!!MARKETLABEL_COIN_OFFER1_BONUS30_DESC,!!MARKETLABEL_COIN_OFFER1_TITLE,sprite,144,134,CoinStack_Portrait_Bonus30.png,default,resource,130,-1,com.mtvn.SBMI.bag1.discnt2 
82,rmt,-64,!!MARKETLABEL_COIN_OFFER2_BONUS30_DESC,!!MARKETLABEL_COIN_OFFER2_TITLE,sprite,143,121,CoinBarrel_Portrait_Bonus30.png,default,resource,650,-1,com.mtvn.SBMI.bag2.discnt2 
83,rmt,-63,!!MARKETLABEL_COIN_OFFER3_BONUS30_DESC,!!MARKETLABEL_COIN_OFFER3_TITLE,sprite,155,111,CoinChest_Portrait_Bonus30.png,default,resource,1625,-1,com.mtvn.SBMI.bag3.discnt2 
84,rmt,-62,!!MARKETLABEL_COIN_OFFER4_BONUS30_DESC,!!MARKETLABEL_COIN_OFFER4_TITLE,sprite,165,120,CoinWheelbarrel_Portrait_Bonus30.png,default,resource,13000,-1,com.mtvn.SBMI.bag4.discnt2 
85,rmt,-61,!!MARKETLABEL_JJ_OFFER1_BONUS40_DESC,!!MARKETLABEL_JJ_OFFER1_TITLE,sprite,132,125,JellyfishJellyShortStack_Icon_Bonus40.png,default,resource,-1,35,com.mtvn.SBMI.jellybundle1.discnt3
86,rmt,-60,!!MARKETLABEL_JJ_OFFER2_BONUS40_DESC,!!MARKETLABEL_JJ_OFFER2_TITLE,sprite,113,130,JellyfishJellyCrateTower_Icon_Bonus40.png,default,resource,-1,70,com.mtvn.SBMI.jellybundle2.discnt3
87,rmt,-59,!!MARKETLABEL_JJ_OFFER3_BONUS40_DESC,!!MARKETLABEL_JJ_OFFER3_TITLE,sprite,148,113,JellyfishJellyCrateTowers_Icon_Bonus40.png,default,resource,-1,210,com.mtvn.SBMI.jellybundle3.discnt3
88,rmt,-58,!!MARKETLABEL_JJ_OFFER4_BONUS40_DESC,!!MARKETLABEL_JJ_OFFER4_TITLE,sprite,149,110,JellyfishJellyCratePyramid_Icon_Bonus40.png,default,resource,-1,630,com.mtvn.SBMI.jellybundle4.discnt3
89,rmt,-57,!!MARKETLABEL_JJ_OFFER5_BONUS40_DESC,!!MARKETLABEL_JJ_OFFER5_TITLE,sprite,168,86,JellyfishJellyBoat_Icon_Bonus40.png,default,resource,-1,2520,com.mtvn.SBMI.jellybundle5.discnt3
90,rmt,-56,!!MARKETLABEL_JJ_OFFER6_BONUS40_DESC,!!MARKETLABEL_JJ_OFFER6_TITLE,sprite,142,123,JellyfishJellyTower_Icon_Bonus40.png,default,resource,-1,5600,com.mtvn.SBMI.jellybundle6.discnt3
91,rmt,-55,!!MARKETLABEL_COIN_OFFER1_BONUS40_DESC,!!MARKETLABEL_COIN_OFFER1_TITLE,sprite,144,134,CoinStack_Portrait_Bonus40.png,default,resource,140,-1,com.mtvn.SBMI.bag1.discnt3 
92,rmt,-54,!!MARKETLABEL_COIN_OFFER2_BONUS40_DESC,!!MARKETLABEL_COIN_OFFER2_TITLE,sprite,143,120,CoinBarrel_Portrait_Bonus40.png,default,resource,700,-1,com.mtvn.SBMI.bag2.discnt3 
93,rmt,-53,!!MARKETLABEL_COIN_OFFER3_BONUS40_DESC,!!MARKETLABEL_COIN_OFFER3_TITLE,sprite,155,111,CoinChest_Portrait_Bonus40.png,default,resource,1750,-1,com.mtvn.SBMI.bag3.discnt3 
94,rmt,-52,!!MARKETLABEL_COIN_OFFER4_BONUS40_DESC,!!MARKETLABEL_COIN_OFFER4_TITLE,sprite,165,120,CoinWheelbarrel_Portrait_Bonus40.png,default,resource,14000,-1,com.mtvn.SBMI.bag4.discnt3 
95,rmt,-51,!!MARKETLABEL_JJ_OFFER1_BONUS50_DESC,!!MARKETLABEL_JJ_OFFER1_TITLE,sprite,132,125,JellyfishJellyShortStack_Icon_Bonus50.png,default,resource,-1,38,com.mtvn.SBMI.jellybundle1.discnt4
96,rmt,-50,!!MARKETLABEL_JJ_OFFER2_BONUS50_DESC,!!MARKETLABEL_JJ_OFFER2_TITLE,sprite,113,130,JellyfishJellyCrateTower_Icon_Bonus50.png,default,resource,-1,75,com.mtvn.SBMI.jellybundle2.discnt4
97,rmt,-49,!!MARKETLABEL_JJ_OFFER3_BONUS50_DESC,!!MARKETLABEL_JJ_OFFER3_TITLE,sprite,148,113,JellyfishJellyCrateTowers_Icon_Bonus50.png,default,resource,-1,225,com.mtvn.SBMI.jellybundle3.discnt4
98,rmt,-48,!!MARKETLABEL_JJ_OFFER4_BONUS50_DESC,!!MARKETLABEL_JJ_OFFER4_TITLE,sprite,149,110,JellyfishJellyCratePyramid_Icon_Bonus50.png,default,resource,-1,675,com.mtvn.SBMI.jellybundle4.discnt4
99,rmt,-47,!!MARKETLABEL_JJ_OFFER5_BONUS50_DESC,!!MARKETLABEL_JJ_OFFER5_TITLE,sprite,168,86,JellyfishJellyBoat_Icon_Bonus50.png,default,resource,-1,2700,com.mtvn.SBMI.jellybundle5.discnt4
100,rmt,-46,!!MARKETLABEL_JJ_OFFER6_BONUS50_DESC,!!MARKETLABEL_JJ_OFFER6_TITLE,sprite,142,122,JellyfishJellyTower_Icon_Bonus50.png,default,resource,-1,6000,com.mtvn.SBMI.jellybundle6.discnt4
101,rmt,-45,!!MARKETLABEL_COIN_OFFER1_BONUS50_DESC,!!MARKETLABEL_COIN_OFFER1_TITLE,sprite,144,134,CoinStack_Portrait_Bonus50.png,default,resource,150,-1,com.mtvn.SBMI.bag1.discnt4 
102,rmt,-44,!!MARKETLABEL_COIN_OFFER2_BONUS50_DESC,!!MARKETLABEL_COIN_OFFER2_TITLE,sprite,143,122,CoinBarrel_Portrait_Bonus50.png,default,resource,750,-1,com.mtvn.SBMI.bag2.discnt4 
103,rmt,-43,!!MARKETLABEL_COIN_OFFER3_BONUS50_DESC,!!MARKETLABEL_COIN_OFFER3_TITLE,sprite,155,111,CoinChest_Portrait_Bonus50.png,default,resource,1875,-1,com.mtvn.SBMI.bag3.discnt4 
104,rmt,-42,!!MARKETLABEL_COIN_OFFER4_BONUS50_DESC,!!MARKETLABEL_COIN_OFFER4_TITLE,sprite,165,120,CoinWheelbarrel_Portrait_Bonus50.png,default,resource,15000,-1,com.mtvn.SBMI.bag4.discnt4 
