i:ID,s:Type,s:Name,i:DID,i:Cost Gold,i:Clear Time,i:Clearing Reward XP,s:Clearing Reward Thought Icon,i:Clearing Jelly Reward Columns,i:Clearing Jelly Reward Amount 1,f:Clearing Jelly Reward Odds 1,i:Level Min,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Height,i:Width,i:Is Waypoint,i:Timer Duration
26,debris,!!DEBRIS_SEAWEED_BLUE_MEDIUM,4010,50,600,25,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
27,debris,!!DEBRIS_SEAWEED_TEAL_MEDIUM,4033,50,600,25,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
28,debris,!!DEBRIS_SHEETMETAL1_MEDIUM,4034,100,1800,100,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
29,debris,!!DEBRIS_SHEETMETAL2_MEDIUM,4035,100,1800,100,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
30,debris,!!DEBRIS_ROCKPIECE_MEDIUM,4015,100,3600,5,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
31,debris,!!DEBRIS_ROCKPIECE_LARGE,4017,500,6000,100,IconXP_1.png,-1,1,1,1,southeast,0,0,30,30,0,5
32,debris,!!DEBRIS_WOODPLANK1_MEDIUM,4036,1000,14400,100,IconXP_1.png,-1,1,1,1,southeast,0,0,10,10,0,5
33,debris,!!DEBRIS_WOODPLANK2_MEDIUM,4037,2500,28800,100,IconXP_1.png,-1,1,1,1,southeast,0,0,20,40,0,5
34,debris,!!DEBRIS_PLANT3_MEDIUM,4100,5,0,-1,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
35,debris,!!DEBRIS_KELP3_MEDIUM,4006,100,18000,-1,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
36,debris,!!DEBRIS_BROWNPIPE_MEDIUM,4018,250,7200,-1,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
37,debris,!!DEBRIS_BUMPYPLANT1_MEDIUM,4019,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
38,debris,!!DEBRIS_BUMPYPLANT2_MEDIUM,4020,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
39,debris,!!DEBRIS_BUMPYPLANT3_MEDIUM,4021,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
40,debris,!!DEBRIS_KELP1_MEDIUM,4022,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
41,debris,!!DEBRIS_KELP2_MEDIUM,4023,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
42,debris,!!DEBRIS_KELP4_MEDIUM,4024,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
43,debris,!!DEBRIS_KELP5_MEDIUM,4025,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
44,debris,!!DEBRIS_KELP6_MEDIUM,4026,100,1800,-1,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
45,debris,!!DEBRIS_LOG_MEDIUM,4029,200,7200,-1,IconXP_1.png,-1,1,1,1,southeast,0,0,20,40,0,5
46,debris,!!DEBRIS_STEELPIPE2_MEDIUM,4030,5000,43200,-1,IconXP_1.png,-1,1,1,1,southeast,0,0,60,20,0,5
47,debris,!!DEBRIS_PLANT2_MEDIUM,4031,25,60,-1,IconXP_1.png,-1,1,0.5,1,southeast,0,0,20,20,0,5
48,debris,!!LANDMARK_WHITEFLOWER_SMALL,4200,5,15,5,IconXP_1.png,-1,1,0.33,1,southeast,0,0,20,20,0,5
49,debris,!!LANDMARK_WHITEFLOWER_LARGE,4201,5,15,5,IconXP_1.png,-1,1,0.33,1,southeast,0,0,20,20,0,5
50,debris,!!LANDMARK_BLUEROCK_SMALL,4202,25,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,20,20,0,5
51,debris,!!LANDMARK_BLUEROCK_LARGE,4203,25,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,20,20,0,5
52,debris,!!LANDMARK_PURPLEROCK_LARGE,4204,500,43200,100,IconXP_1.png,-1,1,1,1,southeast,0,0,60,60,0,5
53,debris,!!LANDMARK_JF_HIVE,4205,1000,86400,250,IconXP_1.png,-1,1,1,1,southeast,0,0,60,60,0,5
