i:ID,i:DID,i:Sort Order,s:Name,i:Source Unit DID,i:Partner Unit DID,s:Target Type,i:Target DID,i:Duration,i:Reward Gold,i:Reward Special DID,i:Reward Special Amount,i:Reward XP,s:Paytable Reward Icon,i:Min Level,i:Repeatable,i:Hidden Until Unlocked,i:Quest Unlock DID,i:Quest Relock DID,i:Quest Re-Unlock DID,i:Active During Quest DID,i:Micro Event DID,i:Event Only,i:Source Unit Required Costume,i:Partner Required Costume,s:Source Unit Display State Walk,s:Partner Display State Walk,s:Source Unit Display State Idle,s:Partner Display State Idle,f:Wander Time,f:Idle Time,s:Movement Type,f:Movement Speed,s:Target Display State,i:Position Offset from Target X,i:Position Offset from Target Y,i:Partner Position Offset from Target X,i:Partner Position Offset from Target Y,i:Source Facing,i:Partner Facing,s:Reward Thought Icon,s:Start VO,s:Finish VO,s:Start Sound,s:Finish Sound
16,558,14400,!!TASK_SB_BROWSE_BARGNMART,1,-1,building,1021,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
17,5,14400,!!TASK_SB_TEA_AT_SANDYS,1,-1,building,1019,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_Cleanliness,SB_Sweet,SeedshopSelect,SeedshopSelect
18,557,14400,!!TASK_SB_CHECK_JELLYFISH,1,-1,building,20700,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,1,-1,walk,n/a,idle,n/a,-1,-1,stand,40,default,0,0,0,0,0,0,RentIcon.png,SB_Cleanliness,SB_Sweet,SeedshopSelect,SeedshopSelect
19,870,14400,!!TASK_SPONGEBOB_CHECK_FORT_DEFENSES,1,-1,building,23000,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
20,580,21600,!!TASK_SB_STUDY_BOAT_TEST,1,-1,building,1018,21600,70,-1,-1,18,n/a,6,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
21,581,21600,!!TASK_SB_PRETEND_DRIVE,1,-1,building,1018,21600,70,-1,-1,18,n/a,6,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
22,871,21600,!!TASK_SPONGEBOB_CAROL_FOR_ELVES,1,-1,building,9042,21600,70,-1,-1,18,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
23,873,28800,!!TASK_SPONGEBOB_PESTER_WORKERS,1,-1,building,9043,28800,80,-1,-1,22,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
24,6,36000,!!TASK_SB_WATCH_SQUID_SLEEP,1,-1,building,1016,36000,85,-1,-1,26,n/a,1,1,1,-1,-1,-1,-1,-1,0,1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_Stare,SB_Sweet,SeedshopSelect,SeedshopSelect
25,7,86400,!!TASK_SB_24HOUR_KK_SHIFT,1,-1,building,1018,86400,120,-1,-1,30,n/a,6,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_HappinessIsKrabbyPatty,SB_Sweet,SeedshopSelect,SeedshopSelect
26,220,86400,!!TASK_SB_WATCH_MM_MARATHON,1,-1,building,1015,86400,120,-1,-1,30,n/a,4,1,1,-1,-1,-1,-1,-1,0,1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
27,15,300,!!TASK_SB_CHASE_EVIL,1,-1,n/a,-1,300,11,-1,-1,5,n/a,1,1,1,-1,-1,-1,-1,-1,0,2,-1,walk,n/a,idle_mermaidman,n/a,2,6,wander,30,default,0,0,0,0,0,0,RentIcon.png,SB_GreatBarrierReef,SB_Sweet,SeedshopSelect,SeedshopSelect
28,16,14400,!!TASK_SB_MM_DOUBLE_FEATURE,1,-1,building,1007,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,2,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_LetsDoThis,SB_Sweet,SeedshopSelect,SeedshopSelect
29,17,21600,!!TASK_SB_AID_POLICE,1,-1,building,1004,21600,70,-1,-1,18,n/a,1,1,1,-1,-1,-1,-1,-1,0,2,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_LetsDoThis,SB_Sweet,SeedshopSelect,SeedshopSelect
30,8,300,!!TASK_SB_STRUT,1,-1,n/a,-1,300,11,-1,-1,5,n/a,1,1,1,-1,-1,-1,-1,-1,0,3,-1,walk_underwear,n/a,idle,n/a,8,2,wander,40,default,0,0,0,0,0,0,RentIcon.png,SB_IAmHappySponge,SB_Sweet,SeedshopSelect,SeedshopSelect
31,9,14400,!!TASK_SB_LAUNDRY,1,-1,building,1015,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,3,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_QualityTime,SB_Sweet,SeedshopSelect,SeedshopSelect
32,10,21600,!!TASK_SB_CASUAL_DRESS_CODE,1,-1,building,1018,21600,70,-1,-1,18,n/a,1,1,1,-1,-1,-1,-1,-1,0,3,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_SetACourse,SB_Sweet,SeedshopSelect,SeedshopSelect
33,11,86400,!!TASK_SB_CLOTHES_DIGNITY,1,-1,building,1015,86400,120,-1,-1,30,n/a,1,1,1,-1,-1,-1,-1,-1,0,3,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
34,12,300,!!TASK_SB_FROWN,1,-1,n/a,-1,300,11,-1,-1,5,n/a,1,1,1,-1,-1,-1,-1,-1,0,4,-1,walk_abrasive,n/a,idle,n/a,8,2,wander,40,default,0,0,0,0,0,0,RentIcon.png,SB_AreYouReady,SB_Sweet,SeedshopSelect,SeedshopSelect
35,13,36000,!!TASK_SB_MAKE_PRISONERS_CRY,1,-1,building,1002,36000,85,-1,-1,26,n/a,1,1,1,-1,-1,-1,-1,-1,0,4,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_SaltySpitoon,SB_Sweet,SeedshopSelect,SeedshopSelect
36,14,86400,!!TASK_SB_PRACTICE_TELLING_OFF,1,-1,building,1015,86400,120,-1,-1,30,n/a,1,1,1,-1,-1,-1,-1,-1,0,4,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,SB_AnybodyHome,SB_Sweet,SeedshopSelect,SeedshopSelect
37,294,5,!!TASK_ALL_LAUNCH_XMAS_WISH,1,-1,building,20109,5,6,-1,-1,1,n/a,1,1,1,2824,2835,2842,-1,-1,0,10,-1,walk,n/a,gimme,n/a,-1,-1,activate,40,shoot,10,10,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
38,340,7200,!!TASK_ALL_BROWSE_GOODIES,1,-1,building,9046,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,10,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
39,436,7200,!!TASK_SB_ENJOY_COCOA,1,-1,building,1015,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,10,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
40,433,14400,!!TASK_SB_SPREAD_SPIRIT,1,-1,n/a,-1,14400,65,-1,-1,14,n/a,1,1,1,2828,-1,-1,-1,-1,0,10,-1,walk_xmas_hat,n/a,idle,n/a,-1,-1,wander,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
41,438,7200,!!TASK_SB_ENJOY_COCOA,1,-1,building,1015,7200,50,-1,-1,11,n/a,1,1,1,2826,-1,-1,-1,-1,0,11,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
42,434,14400,!!TASK_SB_SPREAD_SPIRIT,1,-1,n/a,-1,14400,65,-1,-1,14,n/a,1,1,1,2828,-1,-1,-1,-1,0,11,-1,walk_xmas_suit,n/a,idle,n/a,-1,-1,wander,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
43,341,7200,!!TASK_ALL_WATCH_HOLIDAY_TV,1,-1,building,1015,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,11,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
44,342,7200,!!TASK_ALL_ENJOY_TIME_OFF,1,-1,building,1015,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,11,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
45,554,1800,!!TASK_SB_VDAY_GIVE_LOVE_TRY,1,-1,building,-1,1800,20,-1,-1,8,n/a,1,1,1,-1,-1,-1,-1,-1,0,14,-1,walk,n/a,idle_bow,n/a,5,3,wander,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
46,555,21600,!!TASK_SB_VDAY_MAKE_LOVE_HURT,1,-1,building,-1,21600,70,-1,-1,18,n/a,1,1,1,-1,-1,-1,-1,-1,0,14,-1,walk,n/a,idle_arrow,n/a,5,3,wander,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
47,567,14400,!!TASK_SPONGEBOB_DISPLAY_DELTOIDS,1,-1,building,-1,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,21,-1,walk_anchor,n/a,idle_flex,n/a,5,8,wander,20,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
48,573,3600,!!TASK_SPONGEBOB_IMPRESS_SANDY,1,-1,building,1019,3600,40,-1,-1,10,n/a,1,1,1,-1,-1,-1,-1,-1,0,21,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
49,574,7200,!!TASK_SPONGEBOB_BODYBUILDERS,1,-1,building,1054,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,21,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
50,575,10800,!!TASK_SPONGEBOB_INFLATE_ARMS_EGO,1,-1,building,1015,10800,60,-1,-1,13,n/a,1,1,1,-1,-1,-1,-1,-1,0,21,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
51,576,21600,!!TASK_SPONGEBOB_AVOID_WEIGHTS,1,-1,building,1009,21600,70,-1,-1,18,n/a,1,1,1,-1,-1,-1,-1,-1,0,21,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
52,611,3600,!!TASK_SPONGEBOB_MEAT_ON_BONES,1,-1,building,1009,3600,40,-1,-1,10,n/a,1,1,1,-1,-1,-1,-1,-1,0,25,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
53,609,14400,!!TASK_SPONGEBOB_CEMETARY_CREEP,1,-1,n/a,-1,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,25,-1,walk_skeleton,n/a,idle,n/a,5,-1,wander,15,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
54,612,21600,!!TASK_SPONGEBOB_CHILLED_TO_BONE,1,-1,building,1059,21600,70,-1,-1,18,n/a,1,1,1,-1,-1,-1,-1,-1,0,25,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
55,613,43200,!!TASK_SPONGEBOB_WORK_FINGERS_BONE,1,-1,building,1018,43200,90,-1,-1,28,n/a,1,1,1,-1,-1,-1,-1,-1,0,25,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
56,603,600,!!TASK_SB_WARN_ABOUT_INVASION,1,-1,building,1018,600,15,-1,-1,6,n/a,1,0,1,-1,-1,-1,3700,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
57,606,3600,!!TASK_SB_TALK_SANDY_BARGNMART,1,-1,building,1021,3600,40,-1,-1,10,n/a,1,0,1,-1,-1,-1,3706,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
58,869,1800,!!TASK_SB_HANG_STOCKINGS,1,-1,building,1015,1800,20,-1,-1,8,n/a,36,1,1,-1,-1,-1,3842,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
59,863,14400,!!TASK_ALL_SNOWBALL_FIGHT,1,-1,n/a,-1,14400,65,-1,-1,14,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,3,10,wander,20,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
60,886,14400,!!TASK_ALL_SNOWBALL_FIGHT_WEEK_2,1,-1,n/a,-1,14400,65,-1,-1,14,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,3,10,wander,20,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
61,887,14400,!!TASK_ALL_SNOWBALL_FIGHT_WEEK_3,1,-1,n/a,-1,14400,65,-1,-1,14,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,3,10,wander,20,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
62,888,14400,!!TASK_ALL_SNOWBALL_FIGHT_WEEK_4,1,-1,n/a,-1,14400,65,-1,-1,14,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,3,10,wander,20,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
63,889,14400,!!TASK_ALL_SNOWBALL_FIGHT_WEEK_5,1,-1,n/a,-1,14400,65,-1,-1,14,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,3,10,wander,20,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
64,862,14400,!!TASK_ALL_FESTIVE_FLORAL,1,-1,building,1102,14400,65,-1,-1,14,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
65,636,7200,!!TASK_ALL_MORE_BAKED_GOODS,1,-1,building,1024,7200,50,-1,-1,11,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
66,637,21600,!!TASK_ALL_SHAKE_PRESENTS,1,-1,building,1015,21600,70,-1,-1,18,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
67,638,7200,!!TASK_ALL_SING_OLD_FOLKS,1,-1,building,1026,7200,50,-1,-1,11,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
68,639,14400,!!TASK_ALL_MISTLETOE_WAIT,1,-1,building,1015,14400,65,-1,-1,14,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
69,640,7200,!!TASK_ALL_XMAS_DONUTS_POLICE,1,-1,building,1004,7200,50,-1,-1,11,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
70,641,7200,!!TASK_ALL_KNIT_FIN_MITTENS,1,-1,building,1002,7200,50,-1,-1,11,BonusRewardIcon.png,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
71,623,600,!!TASK_SB_BRING_TREATS_SQUIDWARD,1,-1,building,23000,600,15,-1,-1,6,n/a,36,0,1,-1,-1,-1,3836,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
72,624,7200,!!TASK_SB_SNOWBALL_FORT,1,-1,building,23000,7200,50,-1,-1,11,n/a,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,-1,10,stand,40,default,-50,60,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
73,625,7200,!!TASK_SB_SNOWBALL_PATRICK,1,-1,building,1017,7200,50,-1,-1,11,n/a,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,-1,10,stand,40,default,-50,60,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
74,626,7200,!!TASK_SB_SNOWBALL_PLANKTON,1,-1,building,1058,7200,50,-1,-1,11,n/a,36,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,snowball,n/a,-1,10,stand,40,default,-50,60,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
75,556,43200,!!TASK_SB_HIDE_CAMPING_GEAR,1,-1,building,1015,43200,90,-1,-1,28,n/a,1,1,1,-1,-1,-1,3200,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
76,219,28800,!!TASK_SB_SCULPT_MM,1,-1,building,1015,28800,80,-1,-1,22,n/a,1,0,1,-1,-1,-1,2604,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
77,217,14400,!!TASK_SB_MAKE_BB_COSTUME,1,-1,building,1015,14400,65,-1,-1,14,n/a,1,0,1,-1,-1,-1,2620,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
78,214,3600,!!TASK_SB_CONTEST_PRIZE,1,-1,building,1015,3600,40,-1,-1,10,n/a,1,0,1,-1,-1,-1,2628,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
