i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Level Min,s:Portrait,i:Build Time,i:Build Timer Duration,i:Rent Time,i:Rent Timer Duration,i:Product Resources Gold,i:Product Resources XP,i:Flippable,s:Completion Sound,s:Sound On Select,i:Has Move In,i:Rent Rushable,i:Stashable,i:Worker Spawner,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward Resources XP,i:Completion Reward Movie,s:Completion Reward Thought Icon,i:Product Special DID,i:Product Special Amount,i:Instance Limits,i:Instance Limit Level 1,i:Instance Limit Level 2,i:Instance Limit Level 3,i:Instance Limit Level 4,i:Instance Limit Level 5,i:Instance Limit Level 6,i:Instance Limit Level 7,i:Instance Limit Level 8,i:Instance Limit Level 9,i:Instance Limit Level 10,i:Instance Limit Level 11,i:Instance Limit Level 12,i:Instance Limit Level 13,i:Instance Limit Level 14,i:Instance Limit Level 15,i:Instance Limit Level 16,i:Instance Limit Level 17,i:Instance Limit Level 18,i:Instance Limit Level 19,i:Instance Limit Level 20,i:Instance Limit Level 21,i:Instance Limit Level 22,i:Instance Limit Level 23,i:Instance Limit Level 24,i:Instance Limit Level 25,i:Instance Limit Level 26,i:Instance Limit Level 27,i:Instance Limit Level 28,i:Instance Limit Level 29,i:Instance Limit Level 30,i:Instance Limit Level 31,i:Instance Limit Level 32
10,building,!!BLDG_NAME_9022_RUST_HOUSE,9022,40,40,6,FishHome2_Rust_Portrait.png,7200,5,3600,5,50,2,1,SB_SomeoneNew,n/a,0,1,1,0,southeast,-10,20,10,7,IconXP_1.png,-1,-1,-1,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11,building,!!BLDG_NAME_9017_PURPLE_HOUSE,9017,20,40,7,FishHome1_Purple_Portrait.png,1800,5,1800,5,40,2,1,SB_Neighbor,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,building,!!BLDG_NAME_9020_GRAY_HOUSE,9020,40,40,8,FishHome2_Gray_Portrait.png,86400,5,10800,5,60,3,1,SB_SomeoneNew,n/a,0,1,1,0,southeast,-10,20,10,7,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,building,!!BLDG_NAME_9023_BLUE_HOUSE,9023,40,40,9,FishHome3_Blue_Portrait.png,86400,5,21600,5,75,4,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14,building,!!BLDG_NAME_9028_ORANGE_HOUSE,9028,40,40,11,FishHome4_Orange_Portrait.png,86400,5,3600,5,50,2,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15,building,!!BLDG_NAME_9018_RED_HOUSE,9018,20,40,13,FishHome1_Red_Portrait.png,86400,5,28800,5,90,5,1,SB_Neighbor,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,building,!!BLDG_NAME_9033_BLUE_HOUSE_2,9033,40,40,15,FishHome5_LightBlue_Portrait.png,86400,5,43200,5,105,6,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17,building,!!BLDG_NAME_9030_YELLOW_HOUSE,9030,40,40,16,FishHome4_Yellow_Portrait.png,86400,5,10800,5,60,3,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,building,!!BLDG_NAME_9034_ORANGE_HOUSE_2,9034,40,40,17,FishHome5_Orange_Portrait.png,86400,5,86400,5,180,10,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
19,building,!!BLDG_NAME_9027_BLUE_HOUSE_3,9027,40,40,18,FishHome2_Blue_Portrait.png,86400,5,1800,5,40,2,1,SB_SomeoneNew,n/a,0,1,1,0,southeast,-10,20,10,7,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
20,building,!!BLDG_NAME_BIKINIHS,1001,100,40,19,Highschool_Portrait.png,86400,5,21600,5,75,4,0,SB_MoreFun,HighSchoolSelect,0,1,1,0,southeast,-10,40,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,building,!!DECO_HIGH_SCHOOL_GYM,20800,60,60,19,GymPortrait.png,86400,5,21600,5,75,4,0,SB_MoreFun,HighSchoolSelect,0,1,1,0,southeast,-10,40,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,building,!!BLDG_NAME_9026_PURPLE_HOUSE_2,9026,40,40,20,FishHome3_Purple_Portrait.png,86400,5,3600,5,50,2,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3
23,building,!!BLDG_NAME_9032_GREEN_HOUSE_2,9032,40,40,21,FishHome5_Green_Portrait.png,86400,5,28800,5,90,5,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3
24,building,!!BLDG_NAME_9019_BLUE_HOUSE_4,9019,40,40,22,FishHome4_Blue_Portrait.png,86400,5,3600,5,50,2,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3
25,building,!!BLDG_NAME_9021_MUSTARD_HOUSE,9021,40,40,24,FishHome2_Mustard_Portrait.png,86400,5,3600,5,50,2,1,SB_SomeoneNew,n/a,0,1,1,0,southeast,-10,20,10,7,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3
26,building,!!BLDG_NAME_9029_PURPLE_HOUSE_3,9029,40,40,26,FishHome4_Purple_Portrait.png,86400,5,28800,5,90,5,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3
27,building,!!BLDG_NAME_9031_BLUE_HOUSE_5,9031,40,40,28,FishHome5_Blue_Portrait.png,86400,5,86400,5,180,10,1,n/a,n/a,0,1,1,0,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3
28,building,!!BLDG_NAME_9025_GRAY_HOUSE_2,9025,20,40,29,FishHome1_Gray_Portrait.png,86400,5,43200,5,105,6,1,SB_Neighbor,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
29,building,!!BLDG_NAME_9024_GREEN_HOUSE_3,9024,40,40,30,FishHome3_Green_Portrait.png,86400,5,21600,5,75,4,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
30,building,!!DECO_FOUNTAIN_GOLD,20604,20,20,1,icon_FountainOfGold.png,86400,5,21600,5,75,4,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,building,!!DECO_KRUSTYKRAB_TREASURE,20606,20,20,1,icon_KrustyKrabTreasure.png,86400,5,21600,5,-1,4,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,1,6,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,building,!!BLDG_NAME_FUN_FACTORY,20624,60,60,-1,icon_Factory_Valentines.png,86400,5,21600,5,75,4,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,building,!!BLDG_NAME_STARTER_JF_HIVE,20700,40,40,-1,icons_JellyHhive.png,86400,5,172800,5,-1,4,1,n/a,n/a,0,0,1,0,southeast,10,40,10,-1,IconXP_1.png,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,building,!!BLDG_NAME_JF_HIVE,20701,40,40,-1,icons_JellyHivePremium.png,86400,5,86400,5,-1,4,1,n/a,n/a,0,0,1,0,southeast,-10,10,10,-1,IconXP_1.png,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,building,!!BLDG_NAME_BOATING_SCHOOL,20900,60,40,19,BoatingSchoolPortrait.png,86400,5,21600,5,75,2,0,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,building,!!BLDG_NAME_LIGHTHOUSE,20901,40,40,-1,BoatingSchool_LighthousePortrait.png,86400,5,86400,5,180,2,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,building,!!BLDG_NAME_CONVENTION_HALL,21000,60,60,19,ConventionHallPortrait.png,86400,5,21600,5,75,2,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,building,!!BLDG_NAME_KRABS_LOCKER,21001,20,20,19,KrabsNavyLockerPortrait.png,86400,5,86400,5,180,2,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,building,!!BLDG_NAME_MONEY_BAG,21002,40,40,1,MoneyBagPortrait.png,0,5,300,5,20,1,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,building,!!BLDG_NAME_SANDY_ROCKET,22000,40,60,1,RocketPortrait.png,86400,5,86400,5,180,2,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,building,!!BLDG_NAME_SPOOKY_FISH_HOUSE,22001,40,40,1,HauntedHouse3Portrait.png,86400,5,86400,5,180,2,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,building,!!BLDG_NAME_FORT_SQUIDWARD,23000,40,40,1,FortSquidwardPortrait.png,86400,5,86400,5,180,2,1,n/a,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
