i:id,i:Paytable Trigger DID,s:Paytable Trigger Type,s:Paytable Trigger Name,i:Paytable DID,s:Paytable Name,i:One Time Reward,i:Number of Reward Sets,s:Number of Rewards per Set,f:Set Odds 1,s:Set Type 1,i:Set 1 Reward DID 1,i:Set 1 Reward DID 2,i:Set 1 Reward DID 3,i:Set 1 Reward DID 4,i:Set 1 Reward DID 5,i:Set 1 Reward DID 6,i:Set 1 Reward DID 7,i:Set 1 Reward DID 8,i:Set 1 Reward DID 9,i:Set 1 Reward DID 10,i:Set 1 Reward DID 11,f:Set 1 Reward Odds 1,f:Set 1 Reward Odds 2,f:Set 1 Reward Odds 3,f:Set 1 Reward Odds 4,f:Set 1 Reward Odds 5,f:Set 1 Reward Odds 6,f:Set 1 Reward Odds 7,f:Set 1 Reward Odds 8,f:Set 1 Reward Odds 9,f:Set 1 Reward Odds 10,f:Set 1 Reward Odds 11,i:Set 1 Reward Amount 1,i:Set 1 Reward Amount 2,i:Set 1 Reward Amount 3,i:Set 1 Reward Amount 4,i:Set 1 Reward Amount 5,i:Set 1 Reward Amount 6,i:Set 1 Reward Amount 7,i:Set 1 Reward Amount 8,i:Set 1 Reward Amount 9,i:Set 1 Reward Amount 10,i:Set 1 Reward Amount 11,f:Set Odds 2,s:Set Type 2,i:Set 2 Reward DID 1,i:Set 2 Reward DID 2,i:Set 2 Reward DID 3,i:Set 2 Reward DID 4,f:Set 2 Reward Odds 1,f:Set 2 Reward Odds 2,f:Set 2 Reward Odds 3,f:Set 2 Reward Odds 4,i:Set 2 Reward Amount 1,i:Set 2 Reward Amount 2,i:Set 2 Reward Amount 3,i:Set 2 Reward Amount 4,f:Set Odds 3,s:Set Type 3,i:Set 3 Reward DID 1,i:Set 3 Reward DID 2,i:Set 3 Reward DID 3,i:Set 3 Reward DID 4,f:Set 3 Reward Odds 1,f:Set 3 Reward Odds 2,f:Set 3 Reward Odds 3,f:Set 3 Reward Odds 4,i:Set 3 Reward Amount 1,i:Set 3 Reward Amount 2,i:Set 3 Reward Amount 3,i:Set 3 Reward Amount 4
9,22,wish,!!FOOD_SEAWEEDSALAD,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,23,wish,!!FOOD_KELPKLT,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,27,wish,!!FOOD_BRUSCHETTA,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,28,wish,!!FOOD_BISQUE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,31,wish,!!FOOD_CAESAR_SALAD,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,40,wish,!!FOOD_VEGGIEPATTY,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,41,wish,!!FOOD_GARLICBREAD,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,46,wish,!!FOOD_SALAD,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,92,wish,!!FOOD_TOAST,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,95,wish,!!FOOD_CUBEDKETCHUPKABOBS,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,97,wish,!!FOOD_PICODEGALLO,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,99,wish,!!FOOD_PIPSQUEAKPATTY,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,10000,wish,!!FOOD_BANANA,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,10001,wish,!!FOOD_APPLE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,10006,wish,!!FOOD_ORANGE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,10007,wish,!!FOOD_PEACH,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,20000,wish,!!JUICE_APPLE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,20001,wish,!!JUICE_LEMONADE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,20002,wish,!!JUICE_LIMEADE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,20003,wish,!!JUICE_ORANGE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,20004,wish,!!JUICE_PEACHNECTAR,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,30000,wish,!!SMOOTHIE_BANANA_BREAKER,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,30001,wish,!!SMOOTHIE_BERRY_BLAST,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,30002,wish,!!SMOOTHIE_CHERRY_SLURVEY,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,30003,wish,!!SMOOTHIE_CHERRYADE_CHILLER,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,30004,wish,!!SMOOTHIE_CITRUS_SLURVEY,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,30005,wish,!!SMOOTHIE_HANG_8,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,30006,wish,!!SMOOTHIE_LIQUID_COBBLER,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,30007,wish,!!SMOOTHIE_NANNAS_C_SERENADE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,30008,wish,!!SMOOTHIE_ORANGE_NUT,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,30009,wish,!!SMOOTHIE_STRAWBERRY_SQUEEZE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,30010,wish,!!SMOOTHIE_STRAWNANA_TSUNAMI,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,30011,wish,!!SMOOTHIE_WANNANANA,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,40000,wish,!!ICECREAM_BANANA,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,40001,wish,!!ICECREAM_BANANA_SPLIT,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,40002,wish,!!ICECREAM_BERRY_SCOOPS,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,40003,wish,!!ICECREAM_CARAMEL,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,40004,wish,!!ICECREAM_CORAL_BITS,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,40005,wish,!!ICECREAM_LEMON_GELATO,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,40006,wish,!!ICECREAM_SEASALT,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,40007,wish,!!ICECREAM_STRAWBERRY,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,40008,wish,!!ICECREAM_VANILLA,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,50000,wish,!!SHAKE_BANANAS_N_BITS,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,50001,wish,!!SHAKE_BERRY_BLISS,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
