i:ID,i:DID,s:Type,s:Character Icon,s:Icon,s:Portrait,s:Note,s:Text,s:Title,s:Heading,s:Body,s:Effect,i:Reward XP,i:Reward Gold,s:Voiceover,i:Special Rewards,s:Special Reward Type 1,s:Special Reward Type 2,i:Special Reward DID 1,i:Special Reward DID 2,i:Special Reward Amount 1,i:Special Reward Amount 2
14,10,quest_complete,n/a,SeedShop.png,n/a,n/a,n/a,!!QUEST_PLANT_LETTUCE,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
15,11,character,CookCitizen_Happy.png,n/a,n/a,The Bakery is open for business!,!!TUTORIAL_ID11_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
16,11,character,CookCitizen_Exhuberant.png,n/a,n/a,You gotta try a bun fresh out of the oven it will melt in your mouth!,!!TUTORIAL_ID11_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
17,11,quest_start,n/a,Bun.png,n/a,n/a,n/a,!!QUEST_CRAFT_BUN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
18,12,quest_complete,n/a,Bun.png,n/a,n/a,n/a,!!QUEST_CRAFT_BUN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
19,13,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Now for the real secret: ||Me own special recipe! ||Put a Patty on the grill and we'll be almost done!,!!TUTORIAL_ID13_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
20,13,character,spongebob_happy.png,n/a,n/a,I won't let you down sir!,!!TUTORIAL_ID13_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
21,13,quest_start,n/a,KrustyKrab.png,n/a,n/a,n/a,!!QUEST_CRAFT_PATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
22,14,quest_complete,n/a,KrustyKrab.png,n/a,n/a,n/a,!!QUEST_CRAFT_PATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
23,15,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Listen to that patty sizzle! ||As soon as it's done give 'er a TAP!,!!TUTORIAL_ID15_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
24,15,quest_start,n/a,KrustyKrab.png,n/a,n/a,n/a,!!QUEST_COLLECT_PATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
25,16,quest_complete,n/a,KrustyKrab.png,n/a,n/a,n/a,!!QUEST_COLLECT_PATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
26,17,character,spongebob_quizzical.png,n/a,n/a,So...ummm...where is everybody?,!!TUTORIAL_ID17_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
27,17,character,MrKrabsPortrait_Whaddayamean.png,n/a,n/a,Oh uh well...||It's just a slow day. ||We need to attract more customers!,!!TUTORIAL_ID17_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
28,17,character,spongebob_happy.png,n/a,n/a,OK sounds good. ||When do I start? ||I'm ready!,!!TUTORIAL_ID17_TEXT3,n/a,n/a,n/a,n/a,-1,-1,SB_ImReady_1,-1,n/a,n/a,-1,-1,-1,-1
29,17,character,mrkrabsportrait_stern,n/a,n/a,I'll give you a crack at makin' me famous Krabby Patty and if you have what it takes you'll be on the Krusty crew!,!!TUTORIAL_ID17_TEXT4,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
30,17,character,spongebob_happy.png,n/a,n/a,Aye aye captain!,!!TUTORIAL_ID17_TEXT5,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
31,17,character,mrkrabsportrait_stern,n/a,n/a,Let's start first with the fixins.,!!TUTORIAL_ID17_TEXT6,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
32,17,quest_start,n/a,SeedShop.png,n/a,n/a,n/a,!!QUEST_PLANT_LETTUCE,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
33,18,character,spongebob_happy.png,n/a,n/a,Hey Mr. Krabs can I make a Krabby Patty now?,!!TUTORIAL_ID18_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
34,18,character,MrKrabsPortrait_Whaddayamean.png,n/a,n/a,Not so fast laddie. ||You have to learn how to walk before you can scuttle.,!!TUTORIAL_ID18_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
35,18,character,mrkrabsportrait_stern,n/a,n/a,We'll start you off with the Pipsqueak Patty. ||And if you don't burn the place down...||Just don't burn the place down.,!!TUTORIAL_ID18_TEXT3,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
36,18,quest_start,n/a,PipsqueakPatty.png,n/a,n/a,n/a,!!QUEST_CRAFT_PP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
37,19,quest_complete,n/a,PipsqueakPatty.png,n/a,n/a,n/a,!!QUEST_CRAFT_PP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
38,20,character,realtorportrait_happy.png,n/a,n/a,DING DONG!,!!TUTORIAL_ID40_TEXT1,n/a,n/a,n/a,n/a,-1,-1,Doorbell,-1,n/a,n/a,-1,-1,-1,-1
39,20,character,spongebob_quizzical.png,n/a,n/a,Where did you come from?!,!!TUTORIAL_ID40_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
40,20,character,realtorportrait_happy.png,n/a,n/a,I'm Ding Dong from Bikini Bottom Realty. ||Word is quickly spreading about Bikini Bottom.,!!TUTORIAL_ID40_TEXT3,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
41,20,character,spongebob_happy.png,n/a,n/a,I do what I can.,!!TUTORIAL_ID40_TEXT4,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
42,20,character,realtorportrait_happy.png,n/a,n/a,Well it's getting crowded here and we need more space for new friends!,!!TUTORIAL_ID40_TEXT5,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
43,20,character,mrkrabsportrait_moneygrubbing,n/a,n/a,And new customers!,!!TUTORIAL_ID40_TEXT6,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
44,20,quest_start,n/a,RealtySign.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_EXPAND,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
45,21,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Now SpongeBob fast food burgers aren't complete without those little ketchup packets. ||Let's make one.,!!TUTORIAL_ID21_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
46,21,quest_start,n/a,KetchupPacket.png,n/a,n/a,n/a,!!QUEST_CRAFT_KETCHUP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
47,22,quest_complete,n/a,KetchupPacket.png,n/a,n/a,n/a,!!QUEST_CRAFT_KETCHUP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
48,23,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Hey SpongeBob why don't you go check on the veggies.,!!TUTORIAL_ID23_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
49,23,quest_start,n/a,Tomato_Ready.png,n/a,n/a,n/a,!!QUEST_COLLECT_GARDEN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
50,24,quest_complete,n/a,Tomato_Ready.png,n/a,n/a,n/a,!!QUEST_COLLECT_GARDEN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
51,25,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Hey SpongeBob I think the Pipsqueak Patty is ready. ||Hurry! I think I hear Barnacleboy coming!,!!TUTORIAL_ID23_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
52,25,quest_start,n/a,PipsqueakPatty.png,n/a,n/a,n/a,!!QUEST_CRAFT_COLLECT_PP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
53,26,quest_complete,n/a,PipsqueakPatty.png,n/a,n/a,n/a,!!QUEST_CRAFT_COLLECT_PP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
54,28,quest_complete,n/a,RealtySign.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_EXPAND,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
55,30,character,spongebob_happy.png,n/a,n/a,Ahh...Bikini Bottom! ||It's everything I dreamed it would be!,!!TUTORIAL_ID30_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
56,30,character,spongebob_happy.png,n/a,n/a,And there it is...||The finest eating establishment ever established for eating... ||The Krusty Krab!,!!TUTORIAL_ID30_TEXT2,n/a,n/a,n/a,n/a,-1,-1,SB_KrustyKrab,-1,n/a,n/a,-1,-1,-1,-1
57,30,character,Portrait_SpongeBob.png,n/a,n/a,I've been training my whole life for the day I could join the Krusty crew!,!!TUTORIAL_ID30_TEXT3,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
58,30,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Well here ya are boy. ||It's me the Krusty Krab proprietor and resident money man Eugene H. Krabs.,!!TUTORIAL_ID30_TEXT4,n/a,n/a,n/a,n/a,-1,-1,MK_AhoyBucko,-1,n/a,n/a,-1,-1,-1,-1
59,30,character,mrkrabsportrait_stern,n/a,n/a,First things first me boy: find a place to live then we'll get to work!,!!TUTORIAL_ID30_TEXT5,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
60,30,character,spongebob_happy.png,n/a,n/a,Sir yes sir!,!!TUTORIAL_ID30_TEXT6,n/a,n/a,n/a,n/a,-1,-1,SB_SirYesSir,-1,n/a,n/a,-1,-1,-1,-1
61,30,quest_start,n/a,SpongebobPortrait.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_MOVEIN,n/a,n/a,n/a,-1,-1,SB_LetsBuildPineapple,-1,n/a,n/a,-1,-1,-1,-1
62,31,quest_complete,n/a,SpongebobPortrait.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_MOVEIN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
63,32,character,mrkrabsportrait_stern,n/a,n/a,You seem to be getting your sea legs but do ye have what it takes to make a Krabby Patty? ||To work at the Krusty Krab?,!!TUTORIAL_ID23_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
64,32,character,MrKrabsPortrait_Whaddayamean.png,n/a,n/a,A good chef knows how to manage their time efficiently. ||Let's plant an ONION now since that will take the longest.,!!TUTORIAL_ID23_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
65,32,quest_start,n/a,onion.png,n/a,n/a,n/a,!!QUEST_ONION,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
66,33,quest_complete,n/a,onion.png,n/a,n/a,n/a,!!QUEST_ONION,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
67,34,character,mrkrabsportrait_stern,n/a,n/a,The last step is to put it all together. ||Get in the kitchen and finish me Krabby Patty boy!,!!TUTORIAL_ID19_TEXT1,n/a,n/a,n/a,n/a,-1,-1,MK_PattiesNeedFlipping,-1,n/a,n/a,-1,-1,-1,-1
68,34,character,spongebob_happy,n/a,n/a,Oh boy my very first Krabby Patty!,!!TUTORIAL_ID19_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
69,34,quest_start,n/a,KrabbyPatty.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_CRAFT_KRABBYPATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
70,35,character,spongebob_happy,n/a,n/a,Let's place a wood bench to add some small town charm!,!!TUTORIAL_ID35_TEXT1,n/a,n/a,n/a,n/a,-1,-1,SB_OneHorseTown,-1,n/a,n/a,-1,-1,-1,-1
71,35,quest_start,n/a,Bench_brown.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_BENCH,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
72,36,quest_complete,n/a,Bench_brown.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_BENCH,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
73,37,character,mrkrabsportrait_stern,n/a,n/a,SpongeBob! ||We're gonna need a supplier for warm toasty buns! ||Time to build a bakery!,!!TUTORIAL_ID37_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
74,37,quest_start,n/a,Icon_Bakery.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_BUILD_BAKERY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
75,38,quest_complete,n/a,Icon_Bakery.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_BUILD_BAKERY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
76,39,character,mrkrabsportrait_stern,n/a,n/a,Let's give that Pipsqueak Patty a taste. ||If it's up to snuff I'll give you a shot to earn the title FRY COOK!,!!TUTORIAL_ID39_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
77,39,quest_start,n/a,PipsqueakPatty.png,n/a,n/a,n/a,!!QUEST_FEED_KRABS_PP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
78,40,quest_complete,n/a,PipsqueakPatty.png,n/a,n/a,n/a,!!QUEST_FEED_KRABS_PP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
79,41,character,spongebob_happy.png,n/a,n/a,Hey look!! ||We got a SPECIAL REWARD for feeding Mr. Krabs what he was WISHING for. ||Let's give that treasure chest a TAP!,!!TUTORIAL_ID41_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
80,41,character,mrkrabsportrait_stern,n/a,n/a,And then the final challenge begins! ||Whaddaya say lad are ye good enough to be the Krusty Krab's next top FRY COOK?,!!TUTORIAL_ID41_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
81,41,quest_start,n/a,TreasureChest_Closed.png,n/a,n/a,n/a,!!QUEST_COLLECT_REWARD,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
82,42,quest_complete,n/a,TreasureChest_Closed.png,n/a,n/a,n/a,!!QUEST_COLLECT_REWARD,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
83,43,character,spongebob_happy.png,n/a,n/a,Look at all those fresh veggies just waiting to be tapped! ||Let's go buddy it's as easy as one two three!,!!TUTORIAL_ID43_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
84,43,quest_start,n/a,Ready_Lettuce.png,n/a,n/a,n/a,!!QUEST_COLLECT_GARDEN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
85,44,quest_complete,n/a,Ready_Lettuce.png,n/a,n/a,n/a,!!QUEST_COLLECT_GARDEN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
86,46,quest_complete,n/a,Lettuce_FullGrown.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_BUILD_GARDEN,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
87,48,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Great job! ||But we be needin' more fixins for the Krabby Patties.,!!TUTORIAL_ID39_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
88,48,character,spongebob_happy.png,n/a,n/a,Nothing would make me happier! ||Lettuce get started... ||Hahahahaha!,!!TUTORIAL_ID39_TEXT2,n/a,n/a,n/a,n/a,-1,-1,SB_Laugh,-1,n/a,n/a,-1,-1,-1,-1
89,48,character,mrkrabsportrait_stern,n/a,n/a,...,!!TUTORIAL_ID39_TEXT3,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
90,48,quest_start,n/a,Ready_Lettuce.png,n/a,n/a,n/a,!!QUEST_LETTUCE_2,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
91,49,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Good work lad! ||Keep planting crops to make me money uh I mean to make ingredients for those mouth-watering Krabby Patties!,!!TUTORIAL_ID20_TEXT1,n/a,n/a,n/a,n/a,-1,-1,MK_KrustyKrabEmployee,-1,n/a,n/a,-1,-1,-1,-1
92,49,quest_complete,n/a,Ready_Lettuce.png,n/a,n/a,n/a,!!QUEST_LETTUCE_2,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
93,50,character,mrkrabsportrait_moneygrubbing,n/a,n/a,Are ye ready lad? ||This is your moment SpongeBob do me proud!,!!TUTORIAL_ID50_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
94,50,character,spongebob_happy.png,n/a,n/a,Mr. Krabs with mighty spatula in hand... ||I will brave grease fires and borderline health code violations to become your new FRY COOK!,!!TUTORIAL_ID50_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
95,50,character,mrkrabsportrait_moneygrubbing,n/a,n/a,We need another PATTY to start... ||But fast food burgers aren't complete without those little KETCHUP packets so let's make one of those as well.,!!TUTORIAL_ID21_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
96,50,quest_start,n/a,KrustyKrab.png,n/a,n/a,n/a,!!QUEST_CRAFT_PATTY_N_KETCHUP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
97,51,quest_complete,n/a,KrustyKrab.png,n/a,n/a,n/a,!!QUEST_CRAFT_PATTY_N_KETCHUP,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
98,53,character,spongebob_happy.png,n/a,n/a,Wow! ||It's absolutely everything I ever dreamed it would be!,!!TUTORIAL_ID23_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
99,53,character,spongebob_happy.png,n/a,n/a,The Krabby Patty is my one true love.,!!TUTORIAL_ID23_TEXT2,n/a,n/a,n/a,n/a,-1,-1,SB_KrabbyPattyTrueLove,-1,n/a,n/a,-1,-1,-1,-1
100,53,quest_start,n/a,KrabbyPatty.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_FEED_SPONGEBOB,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
101,54,quest_complete,n/a,KrabbyPatty.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_FEED_SPONGEBOB,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
102,55,character,MrKrabsPortrait_Whaddayamean.png,n/a,n/a,SpongeBob!!! Do I smell smoke? ||Better tend to that patty I spent good money for that!,!!TUTORIAL_ID55_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
103,55,character,mrkrabsportrait_stern.png,n/a,n/a,Actually I got it on sale but it's the principle!,!!TUTORIAL_ID55_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
104,55,quest_start,n/a,Patty.png,n/a,n/a,n/a,!!QUEST_COLLECT_PATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
105,56,quest_complete,n/a,Patty.png,n/a,n/a,n/a,!!QUEST_COLLECT_PATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
106,57,quest_start,n/a,onion.png,n/a,n/a,n/a,!!QUEST_COLLECT_ONION,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
107,58,quest_complete,n/a,onion.png,n/a,n/a,n/a,!!QUEST_COLLECT_ONION,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
108,59,quest_start,n/a,Ready_Tomato.png,n/a,n/a,n/a,!!QUEST_TOMATO_2,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
109,60,quest_complete,n/a,Ready_Tomato.png,n/a,n/a,n/a,!!QUEST_TOMATO_2,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
110,61,character,MrKrabsPortrait_Whaddayamean.png,n/a,n/a,Alrighty let's start you off with something that's practically fail-proof...,!!TUTORIAL_ID61_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
111,61,character,mrkrabsportrait_stern.png,n/a,n/a,I say practically because I had my cousin try out for the job and...||It's a long story just make me a salad boy!,!!TUTORIAL_ID61_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
112,61,quest_start,n/a,Salad.png,n/a,n/a,n/a,!!QUEST_CRAFT_SALAD,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
113,62,quest_complete,n/a,Salad.png,n/a,n/a,n/a,!!QUEST_CRAFT_SALAD,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
114,63,character,MrKrabsPortrait_Whaddayamean.png,n/a,n/a,SpongeBob!! ||I don't have all day! ||Here take this...,!!TUTORIAL_ID63_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
115,63,character,IconJellyfishJelly.png,n/a,n/a,Use this to instantly finish the Krabby Patty.,!!TUTORIAL_ID63_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
116,64,quest_complete,n/a,KrabbyPatty.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_CRAFT_KRABBYPATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
117,65,quest_start,n/a,TreasureChest_Closed.png,n/a,n/a,n/a,!!QUEST_COLLECT_REWARD,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
118,66,quest_complete,n/a,TreasureChest_Closed.png,n/a,n/a,n/a,!!QUEST_COLLECT_REWARD,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
