i:ID,i:Slot DID,i:Debris DID,s:Label,i:Position X,i:Position Y
340,22,4011,96f439b2-3dcd-2202-4011-4ec4bed146d2,483,1165
341,22,4011,96f439b2-3dcd-2203-4011-4ec4bed146d2,536,1115
342,22,4013,96f439b2-3dcd-2201-4013-4ec4bed146d2,499,1151
343,22,4013,96f439b2-3dcd-2202-4013-4ec4bed146d2,480,1114
344,22,4013,96f439b2-3dcd-2203-4013-4ec4bed146d2,519,1082
345,23,4002,96f439b2-3dcd-2301-4002-4ec4bed146d2,580,1020
346,23,4005,96f439b2-3dcd-2301-4005-4ec4bed146d2,508,970
347,23,4007,96f439b2-3dcd-2301-4007-4ec4bed146d2,490,1050
348,23,4004,96f439b2-3dcd-2301-4004-4ec4bed146d2,507,1050
349,23,4004,96f439b2-3dcd-2302-4004-4ec4bed146d2,494,978
350,23,4004,96f439b2-3dcd-2303-4004-4ec4bed146d2,540,976
351,23,4009,96f439b2-3dcd-2301-4009-4ec4bed146d2,575,1045
352,23,4009,96f439b2-3dcd-2302-4009-4ec4bed146d2,544,986
353,23,4009,96f439b2-3dcd-2303-4009-4ec4bed146d2,510,986
354,23,4044,96f439b2-3dcd-2301-4044-4ec4bed146d2,576,998
355,23,4044,96f439b2-3dcd-2302-4044-4ec4bed146d2,544,970
356,23,4044,96f439b2-3dcd-2303-4044-4ec4bed146d2,491,1042
357,23,4011,96f439b2-3dcd-2301-4011-4ec4bed146d2,532,1024
358,23,4011,96f439b2-3dcd-2302-4011-4ec4bed146d2,489,1000
359,23,4011,96f439b2-3dcd-2303-4011-4ec4bed146d2,553,971
360,23,4013,96f439b2-3dcd-2301-4013-4ec4bed146d2,515,999
361,23,4013,96f439b2-3dcd-2302-4013-4ec4bed146d2,491,988
362,23,4013,96f439b2-3dcd-2303-4013-4ec4bed146d2,505,974
363,24,4002,96f439b2-3dcd-2401-4002-4ec4bed146d2,536,946
364,24,4005,96f439b2-3dcd-2401-4005-4ec4bed146d2,494,946
