i:id,s:Type,s:Name,i:DID,i:Disabled,i:Height,i:Width,i:AutoQuest Intro,i:AutoQuest Outro,s:Quest Reminder Icon,s:Character Dialog Portrait,i:Default Costume DID,i:Max Paytables,i:Bonus Paytable DID 1,i:Bonus Paytable DID 2,i:Bonus Paytable DID 3,i:Bonus Paytable DID 4,i:Wishtable DID,i:Gross Item Wishtable DID,i:Forbidden Item Wishtable DID,i:Wish Cooldown Min,i:Wish Cooldown Max,i:Wish Duration,i:Idle Cooldown Min,i:Idle Cooldown Max,i:Idle Duration Min,i:Idle Duration Max,i:Join Paytables,i:Won't Go Home,i:Hide Duration,i:Disable If Will Flee,f:Speed,i:Timer Duration,i:Hungry Timer,s:Character Model Type,i:Character Model Width,i:Character Model Height,f:Character Model Scale X,f:Character Model Scale Y,f:Character Model Scale Z,i:Character Model Offset X,i:Character Model Offset Y,s:Low Res Character Model Type,i:Low Res Character Model Width,i:Low Res Character Model Height,f:Low Res Character Model Scale X,f:Low Res Character Model Scale Y,f:Low Res Character Model Scale Z,i:Low Res Character Model Offset X,i:Low Res Character Model Offset Y,s:Thought Model Type,i:Thought Model Offset X,i:Thought Model Offset Y,i:Thought Quad Width,i:Thought Quad Height,i:Thought Tapbox Center X,i:Thought Tapbox Center Y,i:Thought Tapbox Width,i:Thought Tapbox Height,i:Drop Shadow Diameter,s:Sound on Touch
10,unit,!!RESIDENT_PATRICK,2,0,25,25,25,25,PatrickPortrait.png,Portrait_Patrick.png,6,-1,1,26,-1,-1,10,57,-1,1,3,120,18,26,8,12,1,0,-1,0,12,5,3,paperdoll,20,24,2.75,2.75,2.75,0,0,paperdoll,20,24,2.75,2.75,2.75,0,0,sprite,0,265,16,16,0,-6,28,38,25,P_Touch
11,unit,!!RESIDENT_TYLER,231,0,25,25,21,21,DavePortrait.png,Portrait_Dave.png,-1,-1,1,16,-1,-1,11,57,-1,1,3,120,15,30,15,30,1,0,-1,0,14,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,-1,Citizen_Touch
12,unit,!!RESIDENT_NEPTUNE,3001,0,25,25,29,29,KingNeptunePortrait.png,Portrait_Neptune.png,-1,-1,1,21,-1,-1,12,57,-1,1,3,120,15,30,3,10,1,0,-1,0,20,5,-1,paperdoll,28,36,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,350,16,16,0,-6,28,38,40,Neptune_Touch
13,unit,!!RESIDENT_PEARL,3004,0,25,25,9,9,PearlKrabsPortrait.png,Portrait_PearlKrabs.png,-1,-1,1,27,-1,-1,13,57,-1,1,3,120,24,32,6,9,1,0,-1,0,12.5,5,-1,paperdoll,24,28,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,290,16,16,0,-6,28,38,-1,PK_Touch
14,unit,!!RESIDENT_SANDY,3006,0,25,25,15,15,SandyPortrait.png,Portrait_Sandy.png,-1,-1,1,29,-1,-1,14,57,-1,1,3,120,25,45,4,8,1,0,-1,0,13.5,5,53,paperdoll,24,24,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,265,16,16,0,-6,28,38,25,Sandy_Touch
15,unit,!!RESIDENT_BB,3008,0,25,25,16,16,BarnacleBoyPortrait.png,Portrait_BarnacleBoy.png,-1,-1,1,19,-1,-1,15,57,-1,1,3,120,5,10,15,30,1,0,-1,0,14.5,5,15,paperdoll,20,26,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,255,16,16,0,-6,28,38,25,BB_Touch
16,unit,!!RESIDENT_MERMAN,3009,0,25,25,27,27,MermaidManPortrait.png,Portrait_MermaidMan.png,-1,-1,1,24,-1,-1,16,57,-1,1,3,120,5,10,15,30,1,0,-1,0,12,5,46,paperdoll,20,24,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,260,16,16,0,-6,28,38,25,MM_Touch
17,unit,!!RESIDENT_MANRAY,3010,0,25,25,20,20,ManRayPortrait.png,Portrait_ManRay.png,-1,-1,1,23,-1,-1,17,57,-1,1,3,120,10,15,2,7,1,0,-1,0,13,5,17,paperdoll,20,28,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,310,16,16,0,-6,28,38,30,MR_Touch
18,unit,!!RESIDENT_KEVIN,3012,0,25,25,28,28,KevinPortrait.png,Portrait_Kevin.png,-1,-1,1,20,-1,-1,18,57,-1,1,3,120,20,60,5,15,1,0,-1,0,15,5,40,paperdoll,20,24,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,265,16,16,0,-6,28,38,-1,Kevin_Touch
19,unit,!!RESIDENT_LARRY,3013,0,25,25,17,17,LarrytheLobsterPortrait.png,Portrait_Larry.png,-1,-1,1,22,-1,-1,19,57,-1,1,3,120,2,20,4,10,1,0,-1,0,14,5,38,paperdoll,28,27,3,3,3,0,0,paperdoll,28,27,3,3,3,0,0,sprite,0,300,16,16,0,-6,28,38,30,LL_Touch
20,unit,!!RESIDENT_MRSPUFF,3014,0,25,25,12,12,MrsPuffPortrait.png,Portrait_MrsPuff.png,-1,-1,1,25,-1,-1,20,57,-1,1,3,120,22,42,7,21,1,0,-1,0,10,5,49,paperdoll,20,25,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,274,16,16,0,-6,28,38,30,Generic_Touch
21,unit,!!RESIDENT_REG,3015,0,25,25,23,23,RegPortrait.png,Portrait_Reg.png,-1,-1,1,28,-1,-1,21,57,-1,1,3,120,12,18,8,12,1,0,-1,0,18,5,10,paperdoll,20,26,3,3,3,0,0,paperdoll,20,26,3,3,3,0,0,sprite,0,285,16,16,0,-6,28,38,30,Reg_Touch
22,unit,!!RESIDENT_HARRY,3019,0,25,25,18,18,HarryPortrait.png,Portrait_Harry.png,-1,-1,1,14,-1,-1,22,57,-1,1,3,120,40,60,5,10,1,0,-1,0,14,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,235,16,16,0,-6,28,38,-1,Citizen_Touch
23,unit,!!RESIDENT_TOMMY,3030,0,25,25,13,13,TommyPortrait.png,Portrait_Tommy.png,-1,-1,1,9,-1,-1,23,57,-1,1,3,120,25,45,7,14,1,0,-1,0,15,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,235,16,16,0,-6,28,38,-1,Citizen_Touch
24,unit,!!RESIDENT_SUSIE,3031,0,25,25,19,19,MarthaPortrait.png,Portrait_Martha.png,-1,-1,1,15,-1,-1,24,57,-1,1,3,120,30,40,20,30,1,0,-1,0,11,5,-1,paperdoll,20,22,3,3,3,0,-10,paperdoll,20,22,3,3,3,0,-10,sprite,0,245,16,16,0,-6,28,38,-1,Citizen_Touch
25,unit,!!RESIDENT_MARTHA,3032,0,25,25,11,11,MarthaPortrait.png,Portrait_Martha.png,-1,-1,1,8,-1,-1,25,57,-1,1,3,120,30,40,20,30,1,0,-1,0,11,5,-1,paperdoll,20,22,3,3,3,0,-10,paperdoll,20,22,3,3,3,0,-10,sprite,0,245,16,16,0,-6,28,38,-1,Citizen_Touch
26,unit,!!RESIDENT_FRANK,3033,0,25,25,10,10,FrankPortrait.png,Portrait_Frank.png,-1,-1,1,7,-1,-1,26,57,-1,1,3,120,35,55,8,16,1,0,-1,0,13,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,235,16,16,0,-6,28,38,-1,Citizen_Touch
27,unit,!!RESIDENT_SOPHIE,30201,0,25,25,24,24,JudyPortrait.png,Portrait_Judy.png,-1,-1,1,17,-1,-1,27,57,-1,1,3,120,20,40,10,20,1,0,-1,0,11,5,-1,paperdoll,20,22,3,3,3,0,-10,paperdoll,20,22,3,3,3,0,-10,sprite,0,245,16,16,0,-6,28,38,-1,Citizen_Touch
28,unit,!!RESIDENT_BOB,30301,0,25,25,30,30,TommyPortrait.png,Portrait_Tommy.png,-1,-1,1,9,-1,-1,28,57,-1,1,3,120,25,45,7,14,1,0,-1,0,15,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,235,16,16,0,-6,28,38,-1,Citizen_Touch
29,unit,!!RESIDENT_JOHN,30321,0,25,25,14,14,FrankPortrait.png,Portrait_Frank.png,-1,-1,1,10,-1,-1,29,57,-1,1,3,120,35,55,8,16,1,0,-1,0,13,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,235,16,16,0,-6,28,38,-1,Citizen_Touch
30,unit,!!RESIDENT_LENNY,30341,0,25,25,26,26,BillPortrait.png,Portrait_Bill.png,-1,-1,1,18,-1,-1,30,57,-1,1,3,120,30,45,5,15,1,0,-1,0,12,5,-1,paperdoll,20,23,3,3,3,0,-10,paperdoll,20,23,3,3,3,0,-10,sprite,0,250,16,16,0,-6,28,38,-1,Citizen_Touch
31,unit,!!RESIDENT_HALLOWEEN_GHOST,3035,1,25,25,-1,-1,EvilCasperGhostPortrait.png,Portrait_EvilCasperGhost_Angry.png,-1,-1,1,101,31,-1,31,57,-1,1,3,120,25,45,7,14,0,0,-1,0,20,5,-1,paperdoll,20,25,3,3,3,0,-10,paperdoll,20,25,3,3,3,0,-10,sprite,0,270,16,16,0,-6,28,38,30,Citizen_Touch
32,unit,!!RESIDENT_HALLOWEEN_GHOST,3036,1,25,25,-1,-1,CyclopsGhostTellerPortrait.png,Portrait_CyclopsGhost.png,-1,-1,1,101,32,-1,32,57,-1,1,3,120,25,45,7,14,0,0,-1,0,18,5,-1,paperdoll,20,24,3,3,3,0,-10,paperdoll,20,24,3,3,3,0,-10,sprite,0,260,16,16,0,-6,28,38,30,Citizen_Touch
33,unit,!!RESIDENT_HALLOWEEN_GHOST,3037,1,25,25,-1,-1,GargoyleGhostPortrait.png,Portrait_GargoyleGhost.png,-1,-1,1,101,33,-1,33,57,-1,1,3,120,25,45,7,14,0,0,-1,0,16,5,-1,paperdoll,20,26,3,3,3,0,-10,paperdoll,20,26,3,3,3,0,-10,sprite,0,290,16,16,0,-6,28,38,30,Citizen_Touch
34,unit,!!RESIDENT_HALLOWEEN_GHOST,3038,1,25,25,-1,-1,GodzillaGhostPortrait.png,Portrait_GodzillaGhost.png,-1,-1,1,101,34,-1,34,57,-1,1,3,120,25,45,7,14,0,0,-1,0,14,5,-1,paperdoll,20,25,3,3,3,0,-10,paperdoll,20,25,3,3,3,0,-10,sprite,0,280,16,16,0,-6,28,38,30,Citizen_Touch
35,unit,!!RESIDENT_HALLOWEEN_GHOST,3039,1,25,25,-1,-1,GooberGhostPortrait.png,Portrait_GooberGhost.png,-1,-1,1,101,35,-1,35,57,-1,1,3,120,25,45,7,14,0,0,-1,0,18,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,235,16,16,0,-6,28,38,30,Citizen_Touch
36,unit,!!RESIDENT_HALLOWEEN_RUSTY_RICKETS,3040,0,25,25,-1,-1,RustyRickets.png,Portrait_RustyRickets.png,-1,-1,1,101,36,-1,36,57,-1,1,3,120,25,45,7,14,0,0,-1,0,10,5,-1,paperdoll,20,26,3,3,3,0,-10,paperdoll,20,26,3,3,3,0,-10,sprite,0,285,16,16,0,-6,28,38,35,Citizen_Touch
37,unit,!!RESIDENT_HALLOWEEN_HILLBILLY_FISH,3041,0,25,25,-1,-1,HillBillyPortrait.png,Portrait_HillBilly.png,-1,-1,1,101,38,-1,37,57,-1,1,3,120,25,45,7,14,1,0,-1,0,14,5,-1,paperdoll,20,25,3,3,3,0,-10,paperdoll,20,25,3,3,3,0,-10,sprite,0,270,16,16,0,-6,28,38,25,Citizen_Touch
38,unit,!!RESIDENT_HALLOWEEN_ANGLER_FISH,3042,0,25,25,-1,-1,AnglerFishPortrait.png,Portrait_AnglerFish.png,-1,-1,1,-1,-1,-1,38,57,-1,1,3,120,25,45,7,14,1,0,-1,0,14.5,5,-1,paperdoll,20,25,3,3,3,0,-10,paperdoll,20,25,3,3,3,0,-10,sprite,0,270,16,16,0,-6,28,38,30,Citizen_Touch
39,unit,!!RESIDENT_HALLOWEEN_SLASHER_MCGEE,3043,0,25,25,-1,-1,SlasherMcGeePortrait.png,PortraitSlasherMcGee.png,-1,-1,1,101,39,-1,39,57,-1,1,3,120,25,45,7,14,1,0,-1,0,12,5,-1,paperdoll,26,27,3,3,3,0,-10,paperdoll,26,27,3,3,3,0,-10,sprite,0,300,16,16,0,-6,28,38,-1,Citizen_Touch
40,unit,!!RESIDENT_HALLOWEEN_LORD_POLTERGEIST,3051,1,25,25,-1,-1,LordPoltergeistPortrait.png,Portrait_LordPoltergeist_happy.png,-1,-1,1,101,36,-1,40,57,-1,1,3,120,25,45,7,14,0,0,-1,0,12,5,-1,paperdoll,20,27,3,3,3,0,-10,paperdoll,20,27,3,3,3,0,-10,sprite,0,300,16,16,0,-6,28,38,-1,Citizen_Touch
41,unit,!!RESIDENT_HALLOWEEN_LORD_POLTERGEIST,3061,0,25,25,-1,-1,LordPoltergeistPortrait.png,Portrait_LordPoltergeist_happy.png,-1,-1,1,101,36,-1,40,57,-1,1,3,120,25,45,7,14,0,0,-1,0,12,5,-1,paperdoll,20,27,3,3,3,0,-10,paperdoll,20,27,3,3,3,0,-10,sprite,0,300,16,16,0,-6,28,38,-1,Citizen_Touch
42,unit,!!RESIDENT_ELF_FOREMAN_STAN,3044,0,25,25,-1,-1,StanPortrait.png,Stan_Dialog_Origin.png,-1,-1,1,103,104,-1,41,57,-1,1,3,120,25,45,7,14,0,0,-1,0,20,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,30,Citizen_Touch
43,unit,!!RESIDENT_ELF_UNION_REP_FRAN,3045,1,25,25,-1,-1,n/a,n/a,-1,-1,1,103,104,-1,42,57,-1,1,3,120,25,45,7,14,0,0,-1,0,20,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,30,Citizen_Touch
44,unit,!!RESIDENT_ELF_WORKER,3046,1,25,25,-1,-1,n/a,n/a,-1,-1,1,103,104,-1,43,57,-1,1,3,120,25,45,7,14,0,0,-1,0,20,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,30,Citizen_Touch
45,unit,!!RESIDENT_ELF_WORKER,3047,1,25,25,-1,-1,n/a,n/a,-1,-1,1,103,104,-1,44,57,-1,1,3,120,25,45,7,14,0,0,-1,0,20,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,30,Citizen_Touch
46,unit,!!RESIDENT_ELF_WORKER,3048,1,25,25,-1,-1,n/a,n/a,-1,-1,1,103,104,-1,45,57,-1,1,3,120,25,45,7,14,0,0,-1,0,20,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,30,Citizen_Touch
47,unit,!!RESIDENT_ELF_WORKER,3050,1,25,25,-1,-1,n/a,n/a,-1,-1,1,103,104,-1,46,57,-1,1,3,120,25,45,7,14,0,0,-1,0,20,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,30,Citizen_Touch
48,wanderer,!!RESIDENT_CITIZEN,3049,0,25,25,-1,-1,n/a,n/a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,45,7,14,1,0,1200,1,7,-1,-1,paperdoll,20,21,3,3,3,-5,-40,paperdoll,20,21,3,3,1,-5,-40,sprite,0,230,16,16,0,-6,28,38,30,Citizen_Touch
49,worker,!!RESIDENT_WORKER,0,0,12,12,-1,-1,n/a,n/a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,40,-1,-1,paperdoll,20,21,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,230,-1,-1,0,-6,28,38,-1,n/a
50,unit,!!RESIDENT_PLANKTON,3052,0,25,25,-1,-1,PlanktonPortrait.png,Portrait_Plankton_Neutral.png,-1,-1,1,40,41,-1,56,-1,58,1,3,120,16,26,10,15,1,0,-1,0,15,5,-1,paperdoll,20,21,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,230,16,16,0,-6,28,38,-1,Citizen_Touch
51,unit,!!RESIDENT_TOASTERBOT_1,3053,0,25,25,-1,-1,RobotMinion_redPortrait.png,Portrait_RobotMinion_Red.png,15,-1,1,40,41,-1,56,-1,58,1,3,120,16,26,10,15,1,0,-1,0,15,5,-1,paperdoll,20,21,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,230,16,16,0,-6,28,38,-1,Citizen_Touch
52,unit,!!RESIDENT_TOASTERBOT_2,3054,0,25,25,-1,-1,RobotMinion_greenPortrait.png,Portrait_RobotMinion_Green.png,16,-1,1,40,41,-1,56,-1,58,1,3,120,16,26,10,15,1,0,-1,0,15,5,-1,paperdoll,20,21,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,230,16,16,0,-6,28,38,-1,Citizen_Touch
53,unit,!!RESIDENT_TOASTERBOT_3,3055,0,25,25,-1,-1,RobotMinion_bluePortrait.png,Portrait_RobotMinion_Blue.png,17,-1,1,40,41,-1,56,-1,58,1,3,120,16,26,10,15,1,0,-1,0,15,5,-1,paperdoll,20,21,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,230,16,16,0,-6,28,38,-1,Citizen_Touch
