i:ID,i:DID,s:Costume Name,s:Costume Prefab,s:Texture,s:Portait,s:Material,i:Wishtable DID,i:Unit DID,i:Hidden Until Unlocked,i:Default Costume,s:Unlock Criteria Text,i:Unlock Criteria Level,s:Unlock Criteria Asset Type,i:Unlock Criteria Asset DID,i:Unlock Criteria Asset Amount,i:Unlock Criteria Max Quests,i:Unlock Criteria Quest 1,i:Unlock Criteria Quest 2,s:Unlock Criteria Quest Description 1,s:Unlock Criteria Quest Description 2
10,25,!!COSTUME_SPONGEBOB_SKELETON,skeleton,Spongebob_S_Skeleton,Portrait_Spongebob_Skeleton.png,Spongebob_S_Skeleton,64,1,1,0,n/a,1,n/a,-1,-1,-1,-1,-1,n/a,n/a
11,6,!!COSTUME_PATRICK_DEFAULT,Patrick_Default,Patrick_S,Portrait_Patrick.png,Patrick_body,-1,2,0,1,n/a,-1,n/a,-1,-1,-1,-1,-1,n/a,n/a
12,7,!!COSTUME_PATRICK_BARNACLEBOY,barnacle_boy,Patrick_Costume_BarnacleBoy,Portrait_Patrick_BarnacleBoy.png,Patrick_Costume_BarnacleBoy,54,2,1,0,n/a,5,n/a,-1,-1,-1,41016,2999,n/a,n/a
13,12,!!COSTUME_PATRICK_XMAS_TREE,xmas_tree,Patrick_ChristmasTree,Portrait_Patrick_ChristmasTree.png,Patrick_ChristmasTree,50,2,1,0,n/a,-1,n/a,-1,-1,-1,41016,2999,!!COSTUME_PATRICK_XMAS_TREE_UNLOCK_QUEST1,n/a
14,24,!!COSTUME_PATRICK_MARTIAN,martian,Patrick_S_Martian,Portrait_Patrick_Martian.png,Patrick_S_Martian,62,2,1,0,n/a,5,n/a,-1,-1,-1,41016,2999,n/a,n/a
15,26,!!COSTUME_PATRICK_MUMMY,mummy,Patrick_S_Mummy,Portrait_Patrick_Mummy.png,Patrick_S_Mummy,63,2,1,0,n/a,5,n/a,-1,-1,-1,41016,2999,n/a,n/a
16,8,!!COSTUME_SQUIDWARD_DEFAULT,Squidward_Default,Squidward_S,Portrait_Squidward.png,Squidward_Body,-1,3016,0,1,n/a,-1,n/a,-1,-1,-1,-1,-1,n/a,n/a
17,9,!!COSTUME_SQUIDWARD_TUX,fancy,Squidward_Fancy,Portrait_Squidward_Fancy.png,Squidward_Fancy,55,3016,1,0,n/a,6,n/a,-1,-1,-1,4300,2998,!!COSTUME_SQUIDWARD_TUX_UNLOCK_QUEST1,n/a
18,13,!!COSTUME_SQUIDWARD_SANTA_SUIT,santa,Squidward_Santa,Portrait_Squidward_Santa.png,Squidward_Santa,51,3016,1,0,n/a,-1,n/a,-1,-1,-1,4300,2998,!!COSTUME_SQUIDWARD_SANTA_SUIT_UNLOCK_QUEST1,n/a
19,15,!!COSTUME_TOASTERBOT_1_DEFAULT,RobotMinion_S_R,RobotMinion_S_Red,Portrait_RobotMinion_Red.png,RobotMinion_S_Red,56,3053,0,1,n/a,-1,n/a,-1,-1,-1,-1,-1,n/a,n/a
20,16,!!COSTUME_TOASTERBOT_2_DEFAULT,RobotMinion_S_G,RobotMinion_S_Green,Portrait_RobotMinion_Green.png,RobotMinion_S_Green,56,3054,0,1,n/a,-1,n/a,-1,-1,-1,-1,-1,n/a,n/a
21,17,!!COSTUME_TOASTERBOT_3_DEFAULT,RobotMinion_S_B,RobotMinion_S_Blue,Portrait_RobotMinion_Blue.png,RobotMinion_S_Blue,56,3055,0,1,n/a,-1,n/a,-1,-1,-1,-1,-1,n/a,n/a
22,18,!!COSTUME_TOASTERBOT_1_LOVE,RobotMinion_S_R_Vday,RobotMinion_S_Red,Portrait_RobotMinion_red_Valentines.png,RobotMinion_S_Red,56,3053,1,0,!!COSTUME_TOASTERBOT_1_LOVE_UNLOCK,-1,n/a,-1,-1,-1,3110,-1,!!COSTUME_TOASTERBOT_1_LOVE_UNLOCK_QUEST1,n/a
23,19,!!COSTUME_TOASTERBOT_2_LOVE,RobotMinion_S_G_Vday,RobotMinion_S_Green,Portrait_RobotMinion_green_Valentines.png,RobotMinion_S_Green,56,3054,1,0,!!COSTUME_TOASTERBOT_2_LOVE_UNLOCK,-1,n/a,-1,-1,-1,3110,-1,!!COSTUME_TOASTERBOT_2_LOVE_UNLOCK_QUEST1,n/a
24,20,!!COSTUME_TOASTERBOT_3_LOVE,RobotMinion_S_B_Vday,RobotMinion_S_Blue,Portrait_RobotMinion_blue_Valentines.png,RobotMinion_S_Blue,56,3055,1,0,!!COSTUME_TOASTERBOT_3_LOVE_UNLOCK,-1,n/a,-1,-1,-1,3110,-1,!!COSTUME_TOASTERBOT_3_LOVE_UNLOCK_QUEST1,n/a
25,22,!!COSTUME_MRKRABS_DEFAULT,MrKrabs_Default,MrKrabs_S,Portrait_MrKrabs.png,MrKrabs_Body,-1,3005,1,1,n/a,-1,n/a,-1,-1,-1,-1,-1,n/a,n/a
26,23,!!COSTUME_MRKRABS_NAVY,MrKrabs_Navy,MrKrabs_Navy_Outfit,Portrait_MrKrabs_Navy.png,MrKrabs_Navy,61,3005,1,0,n/a,1,n/a,-1,-1,-1,-1,-1,n/a,n/a
