i:id,s:Name,s:Tag,s:Craft  Description,i:DID,i:Product ID,i:Building ID,s:Building Name,i:Minimum Level,i:Craft Time,i:XP Reward,i:Amount Crafted,i:Ingredient ID 1,i:Ingredient ID 2,i:Ingredient ID 3,i:Ingredient ID 4,i:Ingredient ID 5,i:Ingredient ID 6,i:Ingredient Amount 1,i:Ingredient Amount 2,i:Ingredient Amount 3,i:Ingredient Amount 4,i:Ingredient Amount 5,i:Ingredient Amount 6,s:Start Sound,s:Ready Sound,s:Product Group,i:Group Order,s:Garden Display Started,s:Garden Display Half,s:Garden Display Done,i:Ignore Recipe Cap,s:Touch Sound,s:Start Sound Beat,s:Ready Sound Beat,i:Ignore Random Recipe Quest,i:Coral Bits Amount 1,i:Coral Bits Amount 2,i:Coral Bits Amount 3,f:Coral Bits Odds 1,f:Coral Bits Odds 2,f:Coral Bits Odds 3
16,!!FOOD_KETCHUP,ketchup,!!CRAFT_MAKING,94,94,1018,!!BLDG_NAME_KK,1,4,1,1,10,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,ketchup,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
17,!!FOOD_CUBEDKETCHUPKABOBS,cubedketchupkabobs,!!CRAFT_MAKING,95,95,1018,!!BLDG_NAME_KK,1,1800,18,1,94,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,GardenCropStarted,GardenCropReady,cubedketchupkabobs,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
18,!!FOOD_PICODEGALLO,picodegallo,!!CRAFT_MAKING,97,97,1018,!!BLDG_NAME_KK,1,300,12,1,10,8,12,-1,-1,-1,5,2,5,-1,-1,-1,GardenCropStarted,GardenCropReady,picodegallo,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
19,!!FOOD_PIPSQUEAKPATTY,pipsqueakpatty,!!CRAFT_MAKING,99,99,1018,!!BLDG_NAME_KK,1,120,12,2,6,8,90,-1,-1,-1,1,1,1,-1,-1,-1,Global_GrilledItemStarted,Global_GrilledItemReady,pipsqueakpatty,10,n/a,n/a,n/a,0,SB_KrabbyPatty,Silence,Silence,0,-1,-1,-1,-1,-1,-1
20,!!FOOD_MUSTARD,mustard,!!CRAFT_BAKING,9020,9020,1018,!!BLDG_NAME_KK,1,3600,5,1,9003,9005,9011,9007,9006,-1,1,1,1,1,1,-1,GardenCropStarted,GardenCropReady,mustard,10,n/a,n/a,n/a,0,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
21,!!FOOD_ROASTED_CHESTNUT,roasted_chestnut,!!CRAFT_MAKING,9102,9102,1018,!!BLDG_NAME_KK,8,3600,20,1,10010,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,roasted_chestnut,10,n/a,n/a,n/a,0,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
22,!!FOOD_GINGERBREAD_ELF,gingerbread_elf,!!CRAFT_BAKING,9121,9121,1018,!!BLDG_NAME_KK,1,21600,22,1,9106,9107,9117,9111,9108,9112,1,1,1,1,1,1,BakedItemStarted,BakedItemReady,gingerbread_elf,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
23,!!FOOD_POPCORN,popcorn,!!CRAFT_MAKING,9202,9202,1018,!!BLDG_NAME_KK,1,300,12,1,9200,9008,-1,-1,-1,-1,1,2,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,popcorn,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
24,!!FOOD_KRABBY_NEWBURG,krabby_newburg,!!CRAFT_BAKING,9404,9404,1018,!!BLDG_NAME_KK,1,21600,1,1,90,8,10,94,9002,9007,10,1,1,1,1,1,BakedItemStarted,BakedItemReady,krabby_newburg,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
25,!!FOOD_HOT_KABOB_DOG,hot_kabob_dog,!!CRAFT_MAKING,9600,9600,1018,!!BLDG_NAME_KK,1,2700,18,1,95,1008,9020,-1,-1,-1,1,1,4,-1,-1,-1,BakedItemStarted,BakedItemReady,krabby_newburg,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
26,!!FOOD_SAUERKRAUT,sauerkraut,!!CRAFT_MAKING,100,100,1018,!!BLDG_NAME_KK,1,43200,48,1,8,9008,9003,-1,-1,-1,10,4,2,-1,-1,-1,SoupItemStarted,SoupItemReady,sauerkraut,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
27,!!FOOD_SAILORS,sailors,!!CRAFT_MAKING,25,25,1018,!!BLDG_NAME_KK,1,60,18,1,1,14,-1,-1,-1,-1,2,4,-1,-1,-1,-1,SoupItemStarted,SoupItemReady,sailors,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
28,!!INGREDIENT_ELASTIC,elastic,!!CRAFT_MAKING,9400,9400,1019,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
29,!!INGREDIENT_SEQUINS,sequins,!!CRAFT_MAKING,9401,9401,1019,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
30,!!INGREDIENT_SPIRIT_GUM,spirit_gum,!!CRAFT_MAKING,9402,9402,1019,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
31,!!INGREDIENT_TERRYCLOTH,terrycloth,!!CRAFT_MAKING,9403,9403,1019,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
32,!!INGREDIENT_MARBLES,marbles,!!CRAFT_MAKING,9021,9021,1019,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
33,!!INGREDIENT_PAINT,paint,!!CRAFT_MAKING,9022,9022,1019,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
34,!!INGREDIENT_BBQ_SAUCE,bbq_sauce,!!CRAFT_BAKING,9002,9002,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
35,!!INGREDIENT_DISTILLED_VINEGAR,distilled_vinegar,!!CRAFT_BAKING,9003,9003,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
36,!!INGREDIENT_DRIFTWOOD,driftwood,!!CRAFT_BAKING,9004,9004,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
37,!!INGREDIENT_MUSTARD_SEED,mustard_seed,!!CRAFT_BAKING,9005,9005,1021,!!BLDG_NAME_BARGN,1,0,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
38,!!INGREDIENT_NATURAL_FLAVORS,natural_flavors,!!CRAFT_BAKING,9006,9006,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
39,!!INGREDIENT_PAPRIKA,paprika,!!CRAFT_BAKING,9007,9007,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
40,!!INGREDIENT_SHELLAC,shellac,!!CRAFT_BAKING,9009,9009,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
41,!!INGREDIENT_SPACKLE,spackle,!!CRAFT_BAKING,9010,9010,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
42,!!INGREDIENT_TUMERIC,turmeric,!!CRAFT_BAKING,9011,9011,1021,!!BLDG_NAME_BARGN,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
43,!!FOOD_GARLICBREAD,garlicbread,!!CRAFT_BAKING,41,41,1024,!!BLDG_NAME_BAKERY,1,300,13,1,92,2002,-1,-1,-1,-1,1,1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,garlicbread,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
44,!!FOOD_TOAST,toast,!!CRAFT_BAKING,92,92,1024,!!BLDG_NAME_BAKERY,1,30,7,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,toast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
45,!!FOOD_CROUTONS,croutons,!!CRAFT_BAKING,93,93,1024,!!BLDG_NAME_BAKERY,1,80,1,8,92,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,croutons,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
46,!!FOOD_JELLIEDTOAST,jelliedtoast,!!CRAFT_BAKING,96,96,1024,!!BLDG_NAME_BAKERY,1,30,8,1,92,2,-1,-1,-1,-1,1,1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,jelliedtoast,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
47,!!FOOD_BUN,bun,!!CRAFT_BAKING,1005,6,1024,!!BLDG_NAME_BAKERY,1,180,1,1,3,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,bun,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
48,!!FOOD_HOTDOGROLL,hotdogroll,!!CRAFT_BAKING,1008,1008,1024,!!BLDG_NAME_BAKERY,1,180,1,1,3,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,hotdogroll,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
49,!!FOOD_SNICKERDOODLE,snickerdoodle,!!CRAFT_BAKING,9101,9101,1024,!!BLDG_NAME_BAKERY,1,30,7,1,9106,9107,9108,-1,-1,-1,1,1,1,-1,-1,-1,BakedItemStarted,BakedItemReady,snickerdoodle,10,n/a,n/a,n/a,0,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
50,!!FOOD_BREAD_PUDDING,bread_pudding,!!CRAFT_BAKING,9104,9104,1024,!!BLDG_NAME_BAKERY,12,86400,46,1,92,9107,9117,10010,-1,-1,3,1,1,1,-1,-1,BakedItemStarted,BakedItemReady,bread_pudding,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
51,!!FOOD_YULE_LOG_CAKE,yule_log_cake,!!CRAFT_BAKING,9105,9105,1024,!!BLDG_NAME_BAKERY,13,43200,42,1,9106,9117,9112,9109,9118,-1,1,1,1,1,1,-1,BakedItemStarted,BakedItemReady,yule_log_cake,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
52,!!INGREDIENT_DOUGH,dough,!!CRAFT_BAKING,9106,9106,1024,!!BLDG_NAME_BAKERY,1,30,1,1,3,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,dough,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
53,!!FOOD_CHRISTMAS_COOKIE,christmas_cookie,!!CRAFT_BAKING,9119,9119,1024,!!BLDG_NAME_BAKERY,13,18000,24,1,9106,9107,9117,9109,9112,-1,1,1,1,1,1,-1,BakedItemStarted,BakedItemReady,christmas_cookie,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
54,!!FOOD_BAKED_BANANABANANABREAD,bananabananabread,!!CRAFT_BAKING,80000,80000,1024,!!BLDG_NAME_BAKERY,8,300,13,1,80015,10000,-1,-1,-1,-1,1,4,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,bananabananabread,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
55,!!FOOD_BAKED_CHERRIESGARY,cherriesgary,!!CRAFT_BAKING,80001,80001,1024,!!BLDG_NAME_BAKERY,19,900,17,1,80007,10002,10009,10005,-1,-1,1,4,5,2,-1,-1,BakedItemStarted,BakedItemReady,cherriesgary,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
56,!!FOOD_BAKED_COCONUTCOBBLER,coconutcobbler,!!CRAFT_BAKING,80002,80002,1024,!!BLDG_NAME_BAKERY,26,86400,46,1,80003,10006,10003,10007,-1,-1,3,1,3,1,-1,-1,BakedItemStarted,BakedItemReady,coconutcobbler,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
57,!!FOOD_BAKED_CORALCRUMBLE,coralcrumble,!!CRAFT_BAKING,80003,80003,1024,!!BLDG_NAME_BAKERY,14,300,1,1,2001,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,coralcrumble,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
58,!!FOOD_BAKED_DUTCHMANSDUTCHAPPLEPIE,dutchmansdutchapplepie,!!CRAFT_BAKING,80004,80004,1024,!!BLDG_NAME_BAKERY,14,1800,20,1,80007,10001,-1,-1,-1,-1,1,1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,dutchmansdutchapplepie,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
59,!!FOOD_BAKED_EVERYVILLAINISLEMONBAR,everyvillainislemonbar,!!CRAFT_BAKING,80005,80005,1024,!!BLDG_NAME_BAKERY,22,1800,20,1,80003,10004,10003,-1,-1,-1,1,4,1,-1,-1,-1,BakedItemStarted,BakedItemReady,everyvillainislemonbar,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
60,!!FOOD_BAKED_FERRYCHERRYCHEESECAKE,ferrycherrycheesecake,!!CRAFT_BAKING,80006,80006,1024,!!BLDG_NAME_BAKERY,12,3600,21,1,80003,80007,10002,-1,-1,-1,1,1,6,-1,-1,-1,BakedItemStarted,BakedItemReady,ferrycherrycheesecake,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
61,!!FOOD_BAKED_KELPYCRUST,kelpycrust,!!CRAFT_BAKING,80007,80007,1024,!!BLDG_NAME_BAKERY,10,600,5,1,14,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,kelpycrust,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
62,!!FOOD_BAKED_LIFESABEACHPEACHCOBBLER,lifesabeachpeachcobbler,!!CRAFT_BAKING,80008,80008,1024,!!BLDG_NAME_BAKERY,26,3600,21,1,80003,10007,-1,-1,-1,-1,4,4,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,lifesabeachpeachcobbler,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
63,!!FOOD_BAKED_MAROONEDMACAROONS,maroonedmacaroons,!!CRAFT_BAKING,80009,80009,1024,!!BLDG_NAME_BAKERY,22,7200,21,1,10003,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,maroonedmacaroons,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
64,!!FOOD_BAKED_MERINGUELEMANRAY,meringuelemanray,!!CRAFT_BAKING,80010,80010,1024,!!BLDG_NAME_BAKERY,22,21600,24,1,80007,10000,10004,10003,-1,-1,1,1,8,4,-1,-1,BakedItemStarted,BakedItemReady,meringuelemanray,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
65,!!FOOD_BAKED_PUFFERPASTRYTART,pufferpastrytart,!!CRAFT_BAKING,80011,80011,1024,!!BLDG_NAME_BAKERY,19,43200,42,1,80007,10004,10009,10005,-1,-1,1,2,1,2,-1,-1,BakedItemStarted,BakedItemReady,pufferpastrytart,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
66,!!FOOD_BAKED_SANDYSTEXASTWOBERRYTART,sandystexastwoberrytart,!!CRAFT_BAKING,80012,80012,1024,!!BLDG_NAME_BAKERY,10,21600,24,1,80007,10008,10009,-1,-1,-1,1,3,3,-1,-1,-1,BakedItemStarted,BakedItemReady,sandystexastwoberrytart,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
67,!!FOOD_BAKED_SEALIMEPIE,sealimepie,!!CRAFT_BAKING,80013,80013,1024,!!BLDG_NAME_BAKERY,19,7200,21,1,80007,10005,-1,-1,-1,-1,1,4,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,sealimepie,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
68,!!FOOD_BAKED_SHELDONSSTRAWBERRYSHORTCAKE,sheldonsstrawberryshortcake,!!CRAFT_BAKING,80014,80014,1024,!!BLDG_NAME_BAKERY,10,43200,42,1,80015,10008,-1,-1,-1,-1,1,6,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,sheldonsstrawberryshortcake,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
69,!!FOOD_BAKED_SPONGECAKESQUAREBAKE,spongecakesquarebake,!!CRAFT_BAKING,80015,80015,1024,!!BLDG_NAME_BAKERY,8,900,1,1,3,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,spongecakesquarebake,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
70,!!FOOD_BAKED_THEAPPLEFANCYSON,theapplefancyson,!!CRAFT_BAKING,80016,80016,1024,!!BLDG_NAME_BAKERY,26,43200,42,1,80003,10001,10002,10005,10007,-1,4,8,1,2,2,-1,BakedItemStarted,BakedItemReady,theapplefancyson,999,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
71,!!FOOD_APPLE_CIDER,apple_cider,!!CRAFT_GROWING,9120,9120,1054,!!BLDG_NAME_JUICEBAR,14,32400,30,1,10001,9114,9111,9108,9110,-1,1,1,1,1,1,-1,GardenCropStarted,VeggieItemReady,apple_cider,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
72,!!FOOD_CRANBERRY_SAUCE,cranberry_sauce,!!CRAFT_GROWING,9122,9122,1054,!!BLDG_NAME_JUICEBAR,12,10800,23,1,10011,9107,-1,-1,-1,-1,3,1,-1,-1,-1,-1,GardenCropStarted,VeggieItemReady,cranberry_sauce,10,n/a,n/a,n/a,1,n/a,n/a,n/a,1,-1,-1,-1,-1,-1,-1
