i:id,i:DID,i:Max Wishes,i:Wish DID 1,i:Wish DID 2,i:Wish DID 3,i:Wish DID 4,i:Wish DID 5,i:Wish DID 6,i:Wish DID 7,i:Wish DID 8,i:Wish DID 9,i:Wish DID 10,i:Wish DID 11,i:Wish DID 12,i:Wish DID 13,i:Wish DID 14,i:Wish DID 15,i:Wish DID 16,i:Wish DID 17,i:Wish DID 18,i:Wish DID 19,i:Wish DID 20,i:Wish DID 21,i:Wish DID 22,f:Wish Odds 1,f:Wish Odds 2,f:Wish Odds 3,f:Wish Odds 4,f:Wish Odds 5,f:Wish Odds 6,f:Wish Odds 7,f:Wish Odds 8,f:Wish Odds 9,f:Wish Odds 10,f:Wish Odds 11,f:Wish Odds 12,f:Wish Odds 13,f:Wish Odds 14,f:Wish Odds 15,f:Wish Odds 16,f:Wish Odds 17,f:Wish Odds 18,f:Wish Odds 19,f:Wish Odds 20,f:Wish Odds 21,f:Wish Odds 22
46,46,-1,9100,9102,9105,9119,9120,9121,9122,9123,9127,9127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
47,47,-1,9101,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,92,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,-1,-1,-1,-1,-1,-1,0.000001
48,48,-1,9124,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,92,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,-1,-1,-1,-1,-1,-1,0.000001
49,49,-1,9103,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,92,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,-1,-1,-1,-1,-1,-1,0.000001
50,50,-1,9201,30006,70011,80013,80002,80008,50002,50000,40004,40001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
51,51,-1,9203,9204,9302,9303,9304,32,96,15,46,28,41,97,20002,50006,60015,60016,70008,80004,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,-1,-1,-1,0.0000005
52,52,-1,9126,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,92,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,-1,-1,-1,-1,-1,-1,0.000001
53,53,-1,100,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,92,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,-1,-1,-1,-1,-1,-1,0.000001
54,54,-1,9104,99,30006,70011,80013,80002,80008,50002,50000,40004,40001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
55,55,-1,9125,9202,9204,9302,9303,9304,32,96,15,46,28,41,97,20002,50006,60015,60016,70008,80004,-1,-1,92,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,0.0526315,-1,-1,0.0000015
56,56,-1,9504,9505,9506,9507,9508,9509,9510,9511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000008
57,57,-1,9504,9505,9506,9507,9508,9509,9510,9511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,58,-1,1,32,90,99,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,0.2,0.2,0.2,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,59,-1,9205,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,-1,-1,-1,-1,-1,-1,0.0000008
60,60,-1,9600,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,92,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,0.0666666,-1,-1,-1,-1,-1,-1,0.000001
61,61,-1,9202,9204,9302,9303,9304,1,95,46,30011,40006,50004,60014,70009,80000,25,-1,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,-1,-1,-1,-1,-1,-1,0.0000008
62,62,-1,99,30006,70011,80013,80002,80008,50002,50000,40004,40001,30001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
63,63,-1,99,30006,70011,80013,80002,80008,50002,50000,40004,40001,20003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
64,64,-1,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,30002,-1,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,-1,-1,-1,-1,-1,-1,0.0000008
