i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Is Waypoint,i:Level Min,s:Portrait,i:Flippable,i:Shareable Space,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward XP,s:Completion Reward Thought Icon,s:Completion Sound,s:Accept Placement Sound,i:Build Time
17,building,!!BLDG_NAME_RED_BENCH,2024,20,20,1,1,Bench_red_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
18,building,!!BLDG_NAME_RED_GRILL,2026,20,20,1,1,Grill_red_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
19,building,!!BLDG_NAME_ROCK_LARGE,2029,30,30,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,25,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
20,building,!!BLDG_NAME_ROCK_MED,2030,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
21,building,!!BLDG_NAME_ROCK_SMALL,2031,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
22,building,!!BLDG_NAME_SEAWEED_MED,2033,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
23,building,!!BLDG_NAME_SEAWEED_SMALL,2034,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,2,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
24,building,!!BLDG_NAME_STREETLIGHT,2035,20,20,1,4,StreetLight_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
25,building,!!BLDG_NAME_TIKI,2036,20,20,1,28,TikiTorch_single_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
26,building,!!BLDG_NAME_TIKI_PAIR,2037,20,20,1,1,TikiTorch_dual_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
27,building,!!BLDG_NAME_FULL_TRASHCAN,2038,20,20,1,9,Trashcan1_full_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
28,building,!!BLDG_NAME_TRASHCAN1,2039,20,20,1,8,Trashcan1_empty_Portrait.png,1,0,southeast,2,2,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
29,building,!!BLDG_NAME_TRASHCAN2,2040,20,20,1,28,Trashcan2_Portrait.png,1,0,southeast,2,2,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
30,building,!!BLDG_NAME_ORANGE_BENCH,2044,20,20,1,1,Bench_orange_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
31,building,!!BLDG_NAME_YELLOW_PINE,2046,20,20,1,20,PineTree_yellow_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
32,building,!!BLDG_NAME_WEIGHTS_BENCH,2048,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
33,building,!!BLDG_NAME_WEIGHTS_LARGE,2049,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,25,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
34,building,!!BLDG_NAME_WEIGHTS_SMALL,2050,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
35,building,!!BLDG_NAME_WEIGHTS_STUFFEDANIMAL,2051,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
36,building,!!BLDG_NAME_BEACHCHAIR,2052,20,20,1,6,BeachChair_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
37,building,!!BLDG_NAME_BEACHUMBRELLA,2053,20,20,1,6,BeachUmbrella_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
38,building,!!BLDG_NAME_DUMPSTER_EMPTY,2054,20,20,1,15,Dumpster_Empty_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
39,building,!!BLDG_NAME_GIANTOYSTER_OPEN,2055,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
40,building,!!BLDG_NAME_GIANTOYSTER_CLOSED,2056,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
41,building,!!BLDG_NAME_MOPTOPTREE_RED,2057,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
42,building,!!BLDG_NAME_PB_ANCHOR,20000,20,20,1,1,Anchor_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
43,building,!!BLDG_NAME_PB_SHIPINBOTTLE,20001,20,20,1,1,BoatInBottle_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
44,building,!!BLDG_NAME_PB_CANNON,20002,20,20,1,1,Cannon_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
45,building,!!BLDG_NAME_PB_CROWSNEST,20003,20,20,1,1,CrowsNest_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
46,building,!!BLDG_NAME_PB_FLAG,20004,20,20,1,1,FlagNPole_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
47,building,!!BLDG_NAME_PB_LANTERN,20005,20,20,1,1,Lantern_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
48,building,!!BLDG_NAME_PB_LIFEPRESERVER,20006,20,20,1,1,LifePreserver_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
49,building,!!BLDG_NAME_PB_ROWBOAT,20007,20,40,1,1,RowBoat_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
50,building,!!BLDG_NAME_PB_HELM,20008,20,20,1,1,ShipsWheel_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
51,building,!!BLDG_NAME_PB_SKULLONPOLE,20009,20,20,1,1,SkullPole_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
52,building,!!BLDG_NAME_PB_SPYGLASS,20010,20,20,1,1,Telescope_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
53,building,!!BLDG_NAME_BILLBOARD,20011,40,20,1,31,Billboard_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
54,building,!!BLDG_NAME_CORAL_PURPLE_1,20012,20,20,1,16,Coral_Purple_Shape1_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
55,building,!!BLDG_NAME_CORAL_PURPLE_2,20013,40,20,1,17,Coral_Purple_Shape2_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
56,building,!!BLDG_NAME_CORAL_PURPLE_3,20014,40,20,1,19,Coral_Purple_Shape3_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
57,building,!!BLDG_NAME_CORAL_PURPLE_4,20015,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
58,building,!!BLDG_NAME_CORAL_PURPLE_5,20016,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
59,building,!!BLDG_NAME_DAVEYJONESLOCKER,20017,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
60,building,!!BLDG_NAME_DREAMINVADER,20018,40,40,1,1,DreamInvader_Portrait.png,1,0,southeast,-10,20,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
61,building,!!BLDG_NAME_GIANTCLAM,20019,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
62,building,!!BLDG_NAME_GLOVEWORLDBALLOON,20020,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
63,building,!!BLDG_NAME_ROCK_BLUE,20021,20,40,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
64,building,!!BLDG_NAME_ROCK_GREY,20022,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
65,building,!!BLDG_NAME_ROCK_GREEN,20023,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
66,building,!!BLDG_NAME_ROCK_GROUPING_GREY,20024,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
67,building,!!BLDG_NAME_ROCK_GROUPING_TAN,20025,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
68,building,!!BLDG_NAME_ROCK_PURPLE_GREY_GREEN,20026,20,20,1,31,Rock_Purple_Gray_Green_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
69,building,!!BLDG_NAME_ROCK_PURPLE,20027,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
70,building,!!BLDG_NAME_SANDCASTLE_TOWER_1,20028,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
71,building,!!BLDG_NAME_SANDCASTLE_TOWER_2,20029,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
72,building,!!BLDG_NAME_SANDCASTLE,20030,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
73,building,!!BLDG_NAME_SQUIDWARDSTATUE,20031,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
74,building,!!BLDG_NAME_BARREL_CLOSED,20032,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
75,building,!!BLDG_NAME_BARREL_OPEN,20033,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
76,building,!!BLDG_NAME_BUCKET,20034,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
77,building,!!BLDG_NAME_JUKEBOX,20035,20,20,1,1,WhiteFlower_Small.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
78,building,!!BLDG_NAME_PB_PIRATESCOPE,20036,20,20,1,1,TelescopeBoneTripod_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
79,building,!!BLDG_NAME_PB_COMPASS,20037,20,20,1,1,Compass_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
80,building,!!BLDG_NAME_PB_HAMMOCK,20038,40,20,1,1,PalmTreeHammock_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
81,building,!!BLDG_NAME_PB_RUBBERDUCK,20039,20,20,1,1,RubberDuck_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
82,building,!!BLDG_NAME_PB_TREASUREBARREL,20040,20,20,1,1,TreasureBarrel_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
83,building,!!BLDG_NAME_PB_TREASUREMAP,20041,20,20,1,1,TreasureMap_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
84,building,!!BLDG_NAME_BLACK_CAT,20043,20,20,1,1,BlackCat_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
85,building,!!BLDG_NAME_BROKE_BOAT,20044,40,20,1,1,BrokenDownAirBoat_Portrait.png,1,0,southeast,0,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
86,building,!!BLDG_NAME_CLOCK_TOWER,20045,40,40,1,1,ClockTower_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
87,building,!!BLDG_NAME_BLACK_PUMPKIN,20603,20,20,1,1,icon_BlackPumpkin.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
88,building,!!BLDG_NAME_JACK_O_LANTERN,20046,20,20,1,1,BigJackOLantern_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
89,building,!!BLDG_NAME_GRAVE_STONE1,20047,20,20,1,1,GraveStone1_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
90,building,!!BLDG_NAME_GRAVE_STONE2,20048,20,20,1,1,GraveStone2_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
91,building,!!BLDG_NAME_GRAVE_STONE3,20049,20,20,1,1,GraveStone3_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
92,building,!!BLDG_NAME_HAUNTED_OUTHOUSE,20050,20,20,1,1,HauntedOuthouse_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
93,building,!!BLDG_NAME_PUMPKIN_PATCH,20051,60,40,1,1,PumpkinPatch_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
94,building,!!BLDG_NAME_COFFIN1,20052,40,20,1,1,SardineCoffin1_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
95,building,!!BLDG_NAME_COFFIN2,20053,40,20,1,1,SardineCoffin2_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
96,building,!!BLDG_NAME_COFFIN3,20054,20,20,1,1,SardineCoffin3_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
97,building,!!BLDG_NAME_SCARECROW,20055,20,20,1,1,ScareCrow_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
98,building,!!BLDG_NAME_SCARY_TREE1,20056,20,20,1,1,ScaryTree1_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
99,building,!!BLDG_NAME_SCARY_TREE2,20057,20,20,1,1,ScaryTree2_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
100,building,!!BLDG_NAME_SCARY_TREE3,20058,20,20,1,1,ScaryTree3_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
101,building,!!BLDG_NAME_SKULL_ROCK,20059,40,40,1,1,SkullRock_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
102,building,!!BLDG_NAME_SLIMED_PICNIC_TABLE,20061,20,20,1,1,SlimedPicnicTable_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
103,building,!!BLDG_NAME_GAS_LAMP,20062,20,20,1,1,SpookyGasLamp_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
104,building,!!BLDG_NAME_WAGON_WHEEL,20063,20,20,1,1,SubmergedWagonWheel_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
105,building,!!BLDG_NAME_SUNKEN_SHIP,20064,60,20,1,1,SunkenSkellyShip_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
106,building,!!BLDG_NAME_TORN_UMBRELLA,20065,20,20,1,1,TornPicnicUmbrella_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
107,building,!!BLDG_NAME_WITCHS_CAULDRON,20066,20,20,1,1,WitchesCauldron_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
108,building,!!BLDG_NAME_MAGIC_TABLE,20601,20,20,1,1,FortuneTellerTable_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
109,building,!!BLDG_NAME_FORTUNE_TELLERS_TABLE,20067,20,20,1,1,FortuneTellerTable_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
110,building,!!DECO_DUTCHMAN_STATUE,22002,40,40,1,1,FlyingDutchmanStatuePortrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
111,building,!!DECO_SMITTY,22003,20,20,1,1,SmittyPortrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
112,building,!!DECO_JACK_O_GAZEBO,22004,60,40,1,1,HugeJackOLanternPortrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
113,building,!!BLDG_NAME_POINSETTIA,20068,20,20,1,1,Poinsettia_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
114,building,!!BLDG_NAME_TINSEL_WRAPPED_POLE,20069,20,20,1,1,TinselWrappedPole_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
115,building,!!BLDG_NAME_HOLIDAY_CANDLE,20070,20,20,1,1,HalidayCandleInBellJar_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
116,building,!!BLDG_NAME_PLASTIC_CHRISTMAS_TREE,20071,20,20,1,1,PlasticChristmasTree_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
117,building,!!BLDG_NAME_HUG_ME_TIGHT_ELF_DOLL,20072,20,20,1,1,MechaSpongebobTrap_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
118,building,!!BLDG_NAME_MAGIC_ANALYZER,20073,20,40,1,1,MagicAnalyzer_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
119,building,!!BLDG_NAME_PATRICKS_SANTA_TRAP,20074,40,20,1,1,PatricksSantaTrap_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
120,building,!!BLDG_NAME_NORTH_POLE,20075,20,20,1,1,NorthPole_Portrait.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
121,building,!!BLDG_NAME_KELP_CHRISTMAS_TREE,20076,20,20,1,1,KelpChristmasTree_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
122,building,!!BLDG_NAME_SNOW_SNORKELER,20077,20,20,1,1,SnowSnorkeler_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
123,building,!!BLDG_NAME_WREATH,20078,20,20,1,1,WreathOnTripod_Portrait.png,0,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
124,building,!!BLDG_NAME_CHRISTMAS_TREE,20079,20,20,1,1,ChristmasTreeWithStarfish_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
125,building,!!BLDG_NAME_SNOWFLAKE_BUSHES,20080,20,20,1,1,SnowflakeBushes_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
126,building,!!BLDG_NAME_LARGE_SNOW_GLOBE,20081,40,40,1,1,LargeSnowGlobe_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
127,building,!!BLDG_NAME_STACK_GIFTS_1,20082,20,20,1,1,StacksOfGifts1_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
128,building,!!BLDG_NAME_STACK_GIFTS_2,20083,40,40,1,1,StacksOfGifts2_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
129,building,!!BLDG_NAME_STACK_GIFTS_3,20084,40,40,1,1,StacksOfGifts3_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
130,building,!!BLDG_NAME_SANTAS_SLEIGH,20085,40,60,1,1,SantasSleigh_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
131,building,!!BLDG_NAME_SNOWMAN,20086,20,20,1,1,Snowman_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
132,building,!!BLDG_NAME_LAWN_REINDEER,20087,20,20,1,1,LawnReindeer_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
133,building,!!BLDG_NAME_NUTCRACKER_1,20088,20,20,1,1,Nutcracker1_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
134,building,!!BLDG_NAME_NUTCRACKER_2,20089,20,20,1,1,Nutcracker2_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
135,building,!!BLDG_NAME_NUTCRACKER_3,20090,20,20,1,1,Nutcracker3_Portrait.png,1,0,southeast,0,10,1,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
