i:ID,s:Category Name,s:Item Name,i:Item DID,i:Cost Gold,i:Cost Jelly,i:Cost Special DID,i:Cost Special Amount,i:Sell Cost Gold,i:Sell Cost Jelly,s:Description,s:Type,s:Name,s:Display Model Type,i:Display Width,i:Display Height,s:Display Default Texture,s:Display Default Name,i:Show in Store,i:Sale Banner,f:Sale Percent,i:New Banner,i:LimitedBanner,i:Can Sell,s:Can't Sell Text,i:Micro Event DID,i:Event Only
34,buildings,!!BLDG_NAME_FRYCOOK,1006,-1,430,-1,-1,-1,43,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
35,buildings,!!BLDG_NAME_1051_BOBS_HOUSE,1051,100000,-1,-1,-1,50000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
36,costumes,!!COSTUME_SQUIDWARD_TUX,9,-1,20,-1,-1,-1,-1,!!COSTUME_SQUIDWARD_TUX_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,n/a,-1,0
37,costumes,!!COSTUME_MRKRABS_NAVY,23,-1,20,-1,-1,-1,-1,!!COSTUME_MRKRABS_NAVY_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,n/a,-1,0
38,costumes,!!COSTUME_SPONGEBOB_SANTA_HAT,10,-1,40,-1,-1,-1,-1,!!COSTUME_SPONGEBOB_SANTA_HAT_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
39,costumes,!!COSTUME_SQUIDWARD_SANTA_SUIT,13,-1,50,-1,-1,-1,-1,!!COSTUME_SQUIDWARD_SANTA_SUIT_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
40,costumes,!!COSTUME_SPONGEBOB_SANTA_SUIT,11,-1,50,-1,-1,-1,-1,!!COSTUME_SPONGEBOB_SANTA_SUIT_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
41,costumes,!!COSTUME_PATRICK_XMAS_TREE,12,-1,50,-1,-1,-1,-1,!!COSTUME_PATRICK_XMAS_TREE_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
42,costumes,!!COSTUME_SPONGEBOB_MERMAIDMAN,2,-1,50,-1,-1,-1,-1,!!COSTUME_SPONGEBOB_MERMAIDMAN_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,n/a,-1,0
43,costumes,!!COSTUME_SPONGEBOB_CUPID,14,-1,50,-1,-1,-1,-1,!!COSTUME_SPONGEBOB_CUPID_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
44,costumes,!!COSTUME_SPONGEBOB_ANCHORARMS,21,-1,45,-1,-1,-1,0,!!COSTUME_SPONGEBOB_ANCHORARMS_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,n/a,-1,0
45,costumes,!!COSTUME_SPONGEBOB_SKELETON,25,-1,50,-1,-1,-1,0,!!COSTUME_SPONGEBOB_SKELETON_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
46,costumes,!!COSTUME_PATRICK_BARNACLEBOY,7,-1,35,-1,-1,-1,-1,!!COSTUME_PATRICK_BARNACLEBOY_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,n/a,-1,0
47,costumes,!!COSTUME_PATRICK_MARTIAN,24,-1,50,-1,-1,-1,-1,!!COSTUME_PATRICK_MARTIAN_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,n/a,-1,0
48,costumes,!!COSTUME_PATRICK_MUMMY,26,-1,50,-1,-1,-1,-1,!!COSTUME_PATRICK_MUMMY_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
49,costumes,!!COSTUME_TOASTERBOT_1_LOVE,18,-1,35,-1,-1,-1,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
50,costumes,!!COSTUME_TOASTERBOT_2_LOVE,19,-1,35,-1,-1,-1,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
51,costumes,!!COSTUME_TOASTERBOT_3_LOVE,20,-1,35,-1,-1,-1,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,n/a,-1,0
52,buildings_no_resident,!!BLDG_NAME_9015_GREEN_HOUSE,9015,500,-1,-1,-1,250,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
53,buildings_no_resident,!!BLDG_NAME_9022_RUST_HOUSE,9022,450,-1,-1,-1,225,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
54,buildings_no_resident,!!BLDG_NAME_9017_PURPLE_HOUSE,9017,700,-1,-1,-1,350,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
55,buildings_no_resident,!!BLDG_NAME_9020_GRAY_HOUSE,9020,800,-1,-1,-1,400,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
56,buildings_no_resident,!!BLDG_NAME_9023_BLUE_HOUSE,9023,1000,-1,-1,-1,500,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
57,buildings_no_resident,!!BLDG_NAME_9028_ORANGE_HOUSE,9028,1300,-1,-1,-1,650,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
58,buildings_no_resident,!!BLDG_NAME_BOATING_SCHOOL,20900,1500,-1,-1,-1,750,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
59,buildings_no_resident,!!BLDG_NAME_CONVENTION_HALL,21000,1600,-1,-1,-1,800,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
60,buildings_no_resident,!!BLDG_NAME_9018_RED_HOUSE,9018,2500,-1,-1,-1,1250,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
61,buildings_no_resident,!!BLDG_NAME_9033_BLUE_HOUSE_2,9033,2800,-1,-1,-1,1400,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
62,buildings_no_resident,!!BLDG_NAME_9030_YELLOW_HOUSE,9030,3000,-1,-1,-1,1500,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
63,buildings_no_resident,!!BLDG_NAME_9034_ORANGE_HOUSE_2,9034,3200,-1,-1,-1,1600,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
64,buildings_no_resident,!!BLDG_NAME_9027_BLUE_HOUSE_3,9027,3400,-1,-1,-1,1700,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
65,buildings_no_resident,!!BLDG_NAME_BIKINIHS,1001,1100,-1,-1,-1,550,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
66,buildings_no_resident,!!DECO_HIGH_SCHOOL_GYM,20800,1200,-1,-1,-1,600,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
67,buildings_no_resident,!!BLDG_NAME_9026_PURPLE_HOUSE_2,9026,4200,-1,-1,-1,2100,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
68,buildings_no_resident,!!BLDG_NAME_9032_GREEN_HOUSE_2,9032,5000,-1,-1,-1,2500,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
69,buildings_no_resident,!!BLDG_NAME_9019_BLUE_HOUSE_4,9019,6000,-1,-1,-1,3000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
70,buildings_no_resident,!!BLDG_NAME_9021_MUSTARD_HOUSE,9021,7000,-1,-1,-1,3500,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
71,buildings_no_resident,!!BLDG_NAME_9029_PURPLE_HOUSE_3,9029,7500,-1,-1,-1,3750,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
72,buildings_no_resident,!!BLDG_NAME_9031_BLUE_HOUSE_5,9031,8000,-1,-1,-1,4000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
73,buildings_no_resident,!!BLDG_NAME_9025_GRAY_HOUSE_2,9025,8500,-1,-1,-1,4250,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
74,buildings_no_resident,!!BLDG_NAME_9024_GREEN_HOUSE_3,9024,10000,-1,-1,-1,5000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
75,buildings_no_resident,!!BLDG_NAME_WORKSHACK,1029,-1,-1,-1,-1,-1,-1,!!BLDG_NAME_WORKSHACK_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
76,production_buildings,!!BLDG_NAME_GARDEN,1027,25,-1,-1,-1,13,-1,!!BLDG_NAME_GARDEN_DESC,annex,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
77,production_buildings,!!BLDG_NAME_BAKERY,1024,50,-1,-1,-1,25,-1,!!BLDG_NAME_BAKERY_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
78,production_buildings,!!BLDG_NAME_WHOLE_BROW_FOODS,20400,0,-1,-1,-1,0,-1,!!BLDG_NAME_WHOLE_BROW_FOODS_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
79,production_buildings,!!BLDG_NAME_BARGN,1021,500,-1,-1,-1,250,-1,!!BLDG_NAME_BARGN_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
80,production_buildings,!!BLDG_NAME_RUSTYS_RIB_EYE,9035,3000,-1,-1,-1,1500,-1,!!BLDG_NAME_RUSTYS_RIB_EYE_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
81,production_buildings,!!BLDG_NAME_SPICE_SHACK,9045,1500,-1,-1,-1,750,-1,!!BLDG_NAME_SPICE_SHACK_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
82,production_buildings,!!BLDG_NAME_TREAT_SHOP,9046,1700,-1,-1,-1,850,-1,!!BLDG_NAME_TREAT_SHOP_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
83,production_buildings,!!BLDG_NAME_CHUMBUCKET,1058,500,-1,-1,-1,250,-1,!!BLDG_NAME_CHUMBUCKET_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
84,production_buildings,!!BLDG_NAME_CHUMINATOR,1059,500,-1,-1,-1,250,-1,!!BLDG_NAME_CHUMINATOR_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
85,production_buildings,!!BLDG_NAME_JUICEBAR,1054,1500,-1,-1,-1,750,-1,!!BLDG_NAME_JUICEBAR_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
86,production_buildings,!!BLDG_NAME_FLOWERSHOP,1055,7000,-1,-1,-1,3500,-1,!!BLDG_NAME_FLOWERSHOP_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
87,production_buildings,!!BLDG_NAME_ICECREAMSHOP,1056,6500,-1,-1,-1,3250,-1,!!BLDG_NAME_ICECREAMSHOP_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
88,production_buildings,!!BLDG_NAME_PERFUMESHOP,1057,10000,-1,-1,-1,5000,-1,!!BLDG_NAME_PERFUMESHOP_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
89,production_buildings,!!BLDG_NAME_KK,1018,0,-1,-1,-1,0,-1,!!BLDG_NAME_KK_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
90,production_buildings,!!BLDG_NAME_SEEDSTORE,1102,0,-1,-1,-1,0,-1,!!BLDG_NAME_SEEDSTORE_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
91,trees,!!TREE_NAME_BANANA,10000,400,-1,-1,-1,200,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
92,trees,!!TREE_NAME_CHESTNUT,10010,900,-1,-1,-1,450,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
93,trees,!!TREE_NAME_CRANBERRY,10011,900,-1,-1,-1,450,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
94,trees,!!TREE_NAME_ORANGE,10006,600,-1,-1,-1,300,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
95,trees,!!TREE_NAME_CHERRY,10002,500,-1,-1,-1,250,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
96,trees,!!TREE_NAME_APPLE,10001,1100,-1,-1,-1,550,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
97,trees,!!TREE_NAME_LEMON,10004,2500,-1,-1,-1,1250,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
98,trees,!!TREE_NAME_LIME,10005,3600,-1,-1,-1,1800,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
99,trees,!!TREE_NAME_COCONUT,10003,4700,-1,-1,-1,2350,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
100,trees,!!TREE_NAME_PEACH,10007,6200,-1,-1,-1,3100,-1,n/a,building,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
101,decorations,Road,-255,5,-1,-1,-1,3,-1,!!PATH_TILE1_DESC,n/a,!!PATH_TILE1_TITLE,sprite,140,140,tab_path,default,1,0,0.33,0,0,1,n/a,-1,0
102,decorations,!!BLDG_NAME_BROWN_BENCH,2004,60,-1,-1,-1,30,-1,!!BLDG_NAME_BROWN_BENCH_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
103,decorations,!!DECO_SPONGEBUCK_STATUE,20305,-1,10,-1,-1,-1,2,!!DECO_SPONGEBUCK_STATUE_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
104,decorations,!!BLDG_NAME_GREEN_PINE,2011,50,-1,-1,-1,25,-1,!!BLDG_NAME_GREEN_PINE_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
105,decorations,!!DECO_LARGE_CORAL_TREE,20509,-1,10,-1,-1,-1,-1,!!DECO_LARGE_CORAL_TREE_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
106,decorations,!!DECO_BIKINI_BOTTOM_SIGN,20506,-1,5,-1,-1,-1,-1,!!DECO_BIKINI_BOTTOM_SIGN_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
107,decorations,!!BLDG_NAME_TIKI_PAIR,2037,-1,10,-1,-1,-1,2,!!BLDG_NAME_TIKI_PAIR_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
108,decorations,!!DECO_FUNNEL_CORAL,20500,50,-1,-1,-1,25,-1,!!DECO_FUNNEL_CORAL_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,1,n/a,-1,0
109,decorations,!!BLDG_NAME_KP_STATUE_BB,20611,-1,25,-1,-1,-1,-1,!!BLDG_NAME_KP_STATUE_BB_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
110,decorations,!!BLDG_NAME_KP_STATUE_MM,20610,-1,30,-1,-1,-1,-1,!!BLDG_NAME_KP_STATUE_MM_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,0,0,0.33,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
111,decorations,!!DECO_TETHERBALL,20404,-1,40,-1,-1,-1,-1,!!DECO_TETHERBALL_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
112,decorations,!!BLDG_NAME_FRUITCAKE_LANDFILL,23007,-1,50,-1,-1,-1,-1,!!BLDG_NAME_FRUITCAKE_LANDFILL_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
113,decorations,!!BLDG_NAME_JERKMAKER_9000,23009,-1,60,-1,-1,-1,-1,!!BLDG_NAME_JERKMAKER_9000_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
114,decorations,!!BLDG_NAME_LIGHTUP_PATRICK,23006,-1,60,-1,-1,-1,-1,!!BLDG_NAME_LIGHTUP_PATRICK_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
