i:ID,i:Level,i:XP,i:Reward Jelly,i:Reward Gold,s:Reward Special Type,i:Reward Special DID,i:Reward Special Amount,s:Headline,s:Texture,s:Voice Over,i:Max AutoQuest Length,s:Daily Bonus Jelly Days,i:Daily Bonus Min Gold,i:Daily Bonus Gold Increment,i:Daily Bonus Max Gold,i:Daily Bonus Min Jelly,i:Daily Bonus Jelly Increment,i:Daily Bonus Max Jelly
18,18,23375,5,1000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_18,Textures/GUI/LevelUpScreen/headlines/level_18,Dialog_LevelUp_SB01,44995,-1,530,100,1030,1,0,1
19,19,30775,5,1000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_19,Textures/GUI/LevelUpScreen/headlines/level_19,Dialog_LevelUp_SB01,47430,-1,545,103,1060,1,0,1
20,20,40275,5,1000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_20,Textures/GUI/LevelUpScreen/headlines/level_20,Dialog_LevelUp_SB01,49865,-1,560,105,1085,1,0,1
21,21,52275,5,2500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_21,Textures/GUI/LevelUpScreen/headlines/level_02,Dialog_LevelUp_SB01,52300,-1,575,107,1110,1,0,1
22,22,66875,5,2500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_22,Textures/GUI/LevelUpScreen/headlines/level_22,Dialog_LevelUp_SB01,54735,-1,585,109,1130,1,0,1
23,23,84175,5,2500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_23,Textures/GUI/LevelUpScreen/headlines/level_23,Dialog_LevelUp_SB01,57170,-1,595,111,1150,1,0,1
24,24,104575,5,2500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_24,Textures/GUI/LevelUpScreen/headlines/level_02,Dialog_LevelUp_SB01,59605,-1,605,113,1170,1,0,1
25,25,128575,5,2500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_25,Textures/GUI/LevelUpScreen/headlines/level_25,Dialog_LevelUp_SB01,62040,-1,615,115,1190,1,0,1
26,26,156775,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_26,Textures/GUI/LevelUpScreen/headlines/level_26,Dialog_LevelUp_SB01,64475,-1,625,116,1205,1,0,1
27,27,189975,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_27,Textures/GUI/LevelUpScreen/headlines/level_27,Dialog_LevelUp_SB01,66910,-1,630,118,1220,1,0,1
28,28,229075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_28,Textures/GUI/LevelUpScreen/headlines/level_28,Dialog_LevelUp_SB01,69345,-1,635,119,1230,1,0,1
29,29,275075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_29,Textures/GUI/LevelUpScreen/headlines/level_02,Dialog_LevelUp_SB01,71780,-1,640,120,1240,1,0,1
30,30,329075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_30,Textures/GUI/LevelUpScreen/headlines/level_30,Dialog_LevelUp_SB01,74215,-1,645,120,1245,1,0,1
31,31,392075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_GENERIC,Textures/GUI/LevelUpScreen/headlines/level_31,Dialog_LevelUp_SB01,76650,-1,645,121,1250,1,0,1
32,32,465075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_GENERIC,Textures/GUI/LevelUpScreen/headlines/level_32,Dialog_LevelUp_SB01,79085,-1,645,121,1250,1,0,1
33,33,549075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_GENERIC,Textures/GUI/LevelUpScreen/headlines/level_33,Dialog_LevelUp_SB01,81520,-1,645,121,1250,1,0,1
34,34,645075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_GENERIC,Textures/GUI/LevelUpScreen/headlines/level_34,Dialog_LevelUp_SB01,83955,-1,645,121,1250,1,0,1
35,35,754075,5,5000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_GENERIC,Textures/GUI/LevelUpScreen/headlines/level_35,Dialog_LevelUp_SB01,86400,-1,645,121,1250,1,0,1
