i:ID,s:Name,i:DID,i:Reward Gold,i:Reward XP,i:Fullness Time,f:Jelly Conversion,i:Consumable,s:Type,i:Special Currency HUD Display,i:Currency Display Quest Trigger,s:Texture,i:Ignore Wish Duration,i:Force Wish Match,i:Force No Wish Payout,i:Expected Order,i:Max Amount,s:Tag,s:Tap Sound,s:Collected Sound,s:Eaten Sound,i:Micro Event DID
123,!!FOOD_RUSTYS_RIBEYE_SANDWICH,9019,270,1,21600,0.1112,1,n/a,0,-1,RibEyeSandwich.png,0,0,0,170,-1,rez_ribeye_sandwich,n/a,GrilledItemCollected,GrilledItemEaten,-1
124,!!FOOD_RUSTYS_RUSTY_ON_RYE,9016,130,1,5400,0.1112,1,n/a,0,-1,RustyOnRye.png,0,0,0,1,-1,rez_rusty_on_rye,n/a,GrilledItemCollected,GrilledItemEaten,-1
125,!!FOOD_RUSTYS_BARK_CHOP_SANDWICH,9000,114,1,18720,0.1112,1,n/a,0,-1,BarkChopSandwich.png,0,0,0,170,-1,rez_bark_chop_sandwich,n/a,GrilledItemCollected,GrilledItemEaten,-1
126,!!FOOD_RUSTYS_MESQUITE_RIBS,9014,166,1,18720,0.1112,1,n/a,0,-1,MesquiteRoastedRibs.png,0,0,0,170,-1,rez_mesquite_ribs,n/a,GrilledItemCollected,GrilledItemEaten,-1
127,!!FOOD_RUSTYS_BARKING_BRISKET,9001,170,1,21600,0.1112,1,n/a,0,-1,BarkingMadBrisket.png,0,0,0,170,-1,rez_barking_brisket,n/a,GrilledItemCollected,GrilledItemEaten,-1
128,!!FOOD_RUSTYS_SPLINTERED_SLAW,9018,210,1,21600,0.1112,1,n/a,0,-1,SplinteredSlaw.png,0,0,0,170,-1,rez_spilintered_slaw,n/a,GardenCropCollected,GardenCropEaten,-1
129,!!FOOD_RUSTYS_PULLED_PULP_SANDWICH,9015,220,1,21600,0.1112,1,n/a,0,-1,PulledPulpSandwich.png,0,0,0,170,-1,rez_pulled_pulp_sandwich,n/a,GrilledItemCollected,GrilledItemEaten,-1
130,!!FOOD_EYEBALLS,9023,230,1,43200,0.1112,1,n/a,0,-1,Spookify_EyeballsRecipe.png,0,0,0,1,-1,eyeballs,n/a,GardenCropCollected,GardenCropEaten,-1
131,!!FOOD_SALAD,46,13,1,315,0.2,1,n/a,0,-1,Salad.png,0,0,0,30,-1,rez_salad,n/a,VeggieItemCollected,VeggieItemEaten,-1
132,!!FOOD_SAUERKRAUT,100,220,1,21600,0.00841,1,n/a,0,-1,Sauerkraut.png,0,0,0,180,-1,rez_sauerkraut,n/a,SoupItemCollected,SoupItemEaten,-1
133,!!FOOD_SEAWEEDSALAD,22,63,1,600,0.02084,1,n/a,0,-1,SeaweedSalad.png,0,0,0,150,-1,rez_seaweedsalad,n/a,VeggieItemCollected,VeggieItemEaten,-1
